algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.019439652999999998,1.4521319388576026,20.931034088134766,5915,33,11,FiniteSteps123,0,79,11,7,origA1,442,1805,442,11,1,21.310754000000003,MaxSatDddLadderScl,0.001241372,ok,0.020680359,29,18,48,11
0.011612632999999999,1.6882051282051282,19.0,3735,33,25,FiniteSteps123,1,103,25,9,origA2,551,1646,551,25,1,12.538895,MaxSatDddLadderScl,0.000862424,ok,0.012474551,25,25,51,25
0.007867739,1.6666666666666667,22.375,2061,33,10,FiniteSteps123,2,98,10,8,origA3,418,1220,418,10,2,8.724544000000002,MaxSatDddLadderScl,0.000803303,ok,0.008670402,16,12,73,10
0.006198535999999999,1.9818840579710144,19.214284896850586,1175,33,17,FiniteSteps123,3,138,17,6,origA4,484,1094,484,17,1,7.136878,MaxSatDddLadderScl,0.000898262,ok,0.007096298,14,14,105,17
0.005384028,1.7004219409282701,19.25,876,33,15,FiniteSteps123,4,104,15,5,origA5,288,806,288,15,1,6.099857999999999,MaxSatDddLadderScl,0.000659227,ok,0.00604269,12,8,79,15
0.002545978,1.5294117647058822,18.625,307,33,10,FiniteSteps123,5,93,10,6,origA6,140,468,140,10,1,2.83665,MaxSatDddLadderScl,0.000258168,ok,0.002803722,8,2,79,10
0.0016917269999999999,2.0714285714285716,12.625,126,33,10,FiniteSteps123,6,53,10,7,origA7,194,435,194,10,1,1.892904,MaxSatDddLadderScl,0.000171689,ok,0.001862884,8,7,34,10
0.031068596,3.755434782608696,19.214284896850586,4877,33,31,FiniteSteps123,7,296,31,18,origA8,2731,4146,2731,31,1,48.367478999999996,MaxSatDddLadderScl,0.017100857,ok,0.048168776,28,96,167,31
0.011191362,2.495133819951338,20.049999237060547,2616,33,18,FiniteSteps123,8,127,18,12,origA9,1071,2051,1071,18,1,13.641725000000001,MaxSatDddLadderScl,0.002268557,ok,0.013459303,20,48,59,18
0.00635719,2.2299212598425195,18.176469802856445,1632,33,17,FiniteSteps123,9,87,17,13,origA10,671,1416,671,17,1,7.334607,MaxSatDddLadderScl,0.000870709,ok,0.007227427,17,32,36,17
0.022736416,2.639344262295082,19.83333396911621,6162,33,23,FiniteSteps123,10,150,23,9,origA11,1736,3220,1736,23,1,26.700471,MaxSatDddLadderScl,0.003814903,ok,0.026550593,30,77,48,23
0.026428679000000004,2.694533762057878,21.714284896850586,6393,33,24,FiniteSteps123,11,181,24,10,origA12,1846,3352,1846,24,1,32.471936,MaxSatDddLadderScl,0.005825273,ok,0.032253421,28,75,80,24
0.004239136,1.1838006230529594,17.33333396911621,2022,25,4,FiniteSteps123,12,45,4,5,origB1,64,760,64,4,1,4.491261,MaxSatDddLadderScl,0.000186954,ok,0.004425631,18,1,38,4
0.000739176,1.5816993464052287,14.800000190734863,87,25,5,FiniteSteps123,13,53,5,5,origB2,72,242,72,5,1,0.818332,MaxSatDddLadderScl,6.7286e-05,ok,0.000806038,5,3,45,5
0.001194947,2.0578034682080926,16.799999237060547,136,20,5,FiniteSteps123,14,52,5,6,origB3,161,356,161,5,1,1.3632760000000002,MaxSatDddLadderScl,0.000151193,ok,0.00134571,5,4,41,5
