algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.03591855,4.010458567980692,20.931034088134766,5915,33,34,InfiniteSteps180,0,151,34,105,origA1,816,4985,816,12,1,52.951776,MaxSatDddLadderScl,0.015255848,ok,0.051173779,29,27,110,34
0.026957054,4.796923076923077,19.0,3735,33,37,InfiniteSteps180,1,188,37,111,origA2,1129,4677,1129,37,1,44.931883,MaxSatDddLadderScl,0.017719196,ok,0.044675705,25,54,95,37
0.018990313,4.225409836065574,22.375,2061,33,14,InfiniteSteps180,2,174,14,104,origA3,727,3093,727,14,1,30.050311,MaxSatDddLadderScl,0.010888631,ok,0.029878402,16,18,142,14
0.011000424,4.306159420289855,19.214284896850586,1175,33,22,InfiniteSteps180,3,92,22,104,origA4,414,2377,414,22,1,15.309758,MaxSatDddLadderScl,0.004170291,ok,0.015170232,14,11,59,22
0.011433708,4.575949367088608,19.25,876,33,19,InfiniteSteps180,4,125,19,104,origA5,482,2169,482,19,1,18.092104000000003,MaxSatDddLadderScl,0.006523893,ok,0.017957058,12,13,91,19
0.006004035,4.313725490196078,18.625,307,33,14,InfiniteSteps180,5,87,14,103,origA6,214,1320,214,14,1,8.394947,MaxSatDddLadderScl,0.00229568,ok,0.008299295,8,5,66,14
0.005339338,5.9714285714285715,12.625,126,33,15,InfiniteSteps180,6,77,15,102,origA7,240,1254,240,15,1,7.431318,MaxSatDddLadderScl,0.002015091,ok,0.007353943,8,7,55,15
0.055139233999999995,8.601449275362318,19.214284896850586,4877,33,136,InfiniteSteps180,7,295,136,121,origA8,5216,9496,5216,46,1,169.952768,MaxSatDddLadderScl,0.114369341,ok,0.169508038,28,190,57,136
0.022455940000000004,5.155717761557177,20.049999237060547,2616,33,40,InfiniteSteps180,8,195,40,104,origA9,1326,4238,1326,40,1,38.875502,MaxSatDddLadderScl,0.016155265,ok,0.038610519,20,70,83,40
0.017750803,5.481889763779527,18.176469802856445,1632,33,33,InfiniteSteps180,9,180,33,105,origA10,1075,3481,1075,23,2,31.17265,MaxSatDddLadderScl,0.013199539,ok,0.030949769,17,45,109,33
0.033562409,5.022950819672131,19.83333396911621,6162,33,25,InfiniteSteps180,10,130,25,105,origA11,1727,6128,1727,25,1,49.942092,MaxSatDddLadderScl,0.016086221,ok,0.049648033,30,64,39,25
0.044564156,5.360932475884244,21.714284896850586,6393,33,29,InfiniteSteps180,11,228,29,106,origA12,2395,6669,2395,29,1,77.398514,MaxSatDddLadderScl,0.03240027,ok,0.076963814,28,90,107,29
0.011843798999999999,3.9610591900311527,17.33333396911621,2022,25,7,InfiniteSteps180,12,77,7,103,origB1,99,2543,99,7,1,16.443908999999998,MaxSatDddLadderScl,0.004455931,ok,0.016299096,18,2,66,7
0.0033056970000000002,4.751633986928105,14.800000190734863,87,25,5,InfiniteSteps180,13,53,5,102,origB2,72,727,72,5,1,4.610835,MaxSatDddLadderScl,0.001213918,ok,0.004519098,5,3,45,5
0.0036643220000000002,5.179190751445087,16.799999237060547,136,20,7,InfiniteSteps180,14,71,7,103,origB3,214,896,214,7,1,5.0160100000000005,MaxSatDddLadderScl,0.001295208,ok,0.004958928,5,5,59,7
0.012969146999999999,4.656534954407295,15.949999809265137,2246,25,301,InfiniteSteps180,15,99,301,103,origB4,643,3064,643,10,1,18.87653,MaxSatDddLadderScl,0.005749162,ok,0.018717834,20,51,36,301
0.0032023290000000003,4.005464480874317,17.799999237060547,136,25,2,InfiniteSteps180,16,43,2,102,origB5,48,733,48,2,1,3.9981319999999996,MaxSatDddLadderScl,0.000740327,ok,0.003942172,5,1,38,2
0.002366918,4.1847133757961785,15.199999809265137,93,25,2,InfiniteSteps180,17,2,2,101,origB6,0,657,0,2,1,2.452249,MaxSatDddLadderScl,3.8872e-05,ok,0.002405201,5,0,0,2
0.018235826,5.988095238095238,15.25,2865,25,370,InfiniteSteps180,18,120,370,108,origB7,1681,4527,1681,19,1,29.891812,MaxSatDddLadderScl,0.011423637,ok,0.029658882,24,59,40,370
0.002573672,4.568345323741007,13.399999618530273,72,25,6,InfiniteSteps180,19,6,6,101,origB8,0,635,0,6,1,2.708171,MaxSatDddLadderScl,8.3959e-05,ok,0.002657144,5,0,0,6
0.005823113,6.649746192893401,13.571428298950195,150,25,35,InfiniteSteps180,20,104,35,105,origB9,418,1310,418,8,1,9.492842,MaxSatDddLadderScl,0.003566881,ok,0.009389428,7,14,80,35
0.0055939449999999995,6.8578947368421055,11.375,130,25,34,InfiniteSteps180,21,77,34,103,origB10,317,1303,317,10,1,7.837548,MaxSatDddLadderScl,0.002159914,ok,0.00775339,8,11,54,34
0.03241348100000001,7.442767295597484,15.399999618530273,3202,25,425,InfiniteSteps180,22,313,425,115,origB11,2989,5917,2989,29,9,86.394635,MaxSatDddLadderScl,0.053687819,ok,0.086100874,25,199,75,425
0.008554711,4.420940170940171,16.214284896850586,970,25,6,InfiniteSteps180,23,44,6,104,origB12,175,2069,175,6,1,10.773878,MaxSatDddLadderScl,0.002101995,ok,0.010656233,14,14,24,6
0.055838663000000004,6.502815768302494,20.931034088134766,5915,33,60,InfiniteSteps180,24,243,60,119,trackA1,3639,8083,3639,25,1,101.323149,MaxSatDddLadderScl,0.045120896,ok,0.100959091,29,104,112,60
0.038539407,6.635897435897436,19.0,3735,33,48,InfiniteSteps180,25,247,48,112,trackA2,2760,6470,2760,48,1,78.001315,MaxSatDddLadderScl,0.039144082,ok,0.077682766,25,89,108,48
0.026444037999999996,6.39207650273224,22.375,2061,33,18,InfiniteSteps180,26,227,18,112,trackA3,2176,4679,2176,18,1,49.930205,MaxSatDddLadderScl,0.023262904,ok,0.049706413,16,66,141,18
0.016757421,5.510869565217392,19.214284896850586,1175,33,18,InfiniteSteps180,27,207,18,110,trackA4,1023,3042,1023,18,1,30.606213,MaxSatDddLadderScl,0.013691379,ok,0.030448181,14,33,154,18
0.011377037999999999,5.128691983122363,19.25,876,33,19,InfiniteSteps180,28,129,19,106,trackA5,719,2431,719,19,1,18.089515,MaxSatDddLadderScl,0.006562661,ok,0.017939147,12,34,74,19
0.006503972,4.555555555555555,18.625,307,33,11,InfiniteSteps180,29,100,11,104,trackA6,280,1394,280,11,1,9.551884,MaxSatDddLadderScl,0.002940903,ok,0.009444289,8,7,80,11
0.0050525809999999996,5.928571428571429,12.625,126,33,10,InfiniteSteps180,30,63,10,103,trackA7,220,1245,220,10,1,6.888971,MaxSatDddLadderScl,0.00176002,ok,0.006812093,8,7,46,10
0.10610462800000064,20.161671207992732,19.88888931274414,4862,33,146,InfiniteSteps180,31,377,146,179,trackA8,16652,22198,16652,73,6,11591.103764,MaxSatDddLadderScl,11.483651556,ok,11.589755666,27,264,33,146
0.027296261999999998,7.175182481751825,20.049999237060547,2616,33,43,InfiniteSteps180,32,192,43,109,trackA9,2845,5898,2845,43,1,53.751882,MaxSatDddLadderScl,0.026113949,ok,0.053409792,20,103,44,43
0.015503405,5.503937007874016,18.176469802856445,1632,33,33,InfiniteSteps180,33,109,33,108,trackA10,1084,3495,1084,19,2,23.872094,MaxSatDddLadderScl,0.008181461,ok,0.023684259,17,41,46,33
0.10744676799998842,24.433853738701725,20.482759475708008,6144,33,,InfiniteSteps180,34,331,98,205,trackA11,22554,29736,22554,98,1,126987.024911,MaxSatDddLadderScl,126.877790055,timeout,126.985236294,29,232,0,428
0.09831911100000923,22.65353697749196,21.714284896850586,6393,33,,InfiniteSteps180,35,298,103,199,trackA12,21328,28181,21328,103,1,120632.61608,MaxSatDddLadderScl,120.53270178,timeout,120.631020134,28,193,0,575
0.020384225,5.959501557632398,17.33333396911621,2022,25,14,InfiniteSteps180,36,168,14,106,trackB1,1270,3826,1270,14,1,36.394229,MaxSatDddLadderScl,0.015637377,ok,0.036020942,18,50,102,14
0.0040745980000000005,5.254901960784314,14.800000190734863,87,25,26,InfiniteSteps180,37,89,26,106,trackB2,137,804,137,26,2,5.721571,MaxSatDddLadderScl,0.001598572,ok,0.005672598,5,5,55,26
