algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.017383749,1.5325824617860015,20.931034088134766,5915,33,11,FiniteSteps123,0,127,11,7,origA1,610,1905,610,11,1,18.705168,MaxSatDddLadderScl,0.001012023,ok,0.018394942,29,26,88,11
0.012462305,1.594871794871795,19.0,3735,33,25,FiniteSteps123,1,97,25,6,origA2,528,1555,528,25,1,13.712757000000002,MaxSatDddLadderScl,0.000573078,ok,0.013034173,25,20,50,25
0.008642272,1.7472677595628416,22.375,2061,33,10,FiniteSteps123,2,95,10,8,origA3,509,1279,509,10,1,9.57173,MaxSatDddLadderScl,0.000637026,ok,0.009278613,16,19,64,10
0.007230654,1.9728260869565217,19.214284896850586,1175,33,17,FiniteSteps123,3,141,17,6,origA4,502,1089,502,17,1,8.291780000000001,MaxSatDddLadderScl,0.000786919,ok,0.008016733,14,16,106,17
0.006567247,1.7278481012658229,19.25,876,33,15,FiniteSteps123,4,113,15,4,origA5,325,819,325,15,1,7.337501,MaxSatDddLadderScl,0.000489705,ok,0.007056135,12,8,88,15
0.003681714,1.6993464052287581,18.625,307,33,10,FiniteSteps123,5,93,10,4,origA6,205,520,205,10,1,4.570939,MaxSatDddLadderScl,0.000257126,ok,0.003938154,8,3,78,10
0.002704426,1.8952380952380952,12.625,126,33,10,FiniteSteps123,6,55,10,6,origA7,174,398,174,10,1,3.10188,MaxSatDddLadderScl,0.000122299,ok,0.002826102,8,5,38,10
0.022523705,3.476449275362319,19.214284896850586,4877,33,31,FiniteSteps123,7,174,31,17,origA8,2483,3838,2483,31,1,29.786154,MaxSatDddLadderScl,0.006815333,ok,0.029337914,28,86,55,31
0.011029639,2.302919708029197,20.049999237060547,2616,33,18,FiniteSteps123,8,133,18,13,origA9,978,1893,978,18,1,12.839665,MaxSatDddLadderScl,0.001474867,ok,0.01250372,20,57,56,18
0.007067355,1.9496062992125984,18.176469802856445,1632,33,17,FiniteSteps123,9,90,17,9,origA10,542,1238,542,17,1,8.001503,MaxSatDddLadderScl,0.000665258,ok,0.007731663,17,23,48,17
0.020797879999999998,2.523770491803279,19.83333396911621,6162,33,23,FiniteSteps123,10,121,23,11,origA11,1672,3079,1672,23,1,25.60403,MaxSatDddLadderScl,0.004314264,ok,0.025111291,30,66,30,23
0.028329953,2.630225080385852,21.714284896850586,6393,33,24,FiniteSteps123,11,191,24,10,origA12,1841,3272,1841,24,1,38.815059999999995,MaxSatDddLadderScl,0.00991746,ok,0.038246535,28,68,97,24
0.005139792000000001,1.1199376947040498,17.33333396911621,2022,25,4,FiniteSteps123,12,39,4,4,origB1,71,719,71,4,1,5.496586000000001,MaxSatDddLadderScl,4.196e-05,ok,0.005180844,18,2,31,4
0.001897027,1.5163398692810457,14.800000190734863,87,25,5,FiniteSteps123,13,53,5,4,origB2,72,232,72,5,1,2.207927,MaxSatDddLadderScl,5.2898e-05,ok,0.001949193,5,3,45,5
0.002156452,2.0,16.799999237060547,136,20,5,FiniteSteps123,14,50,5,6,origB3,161,346,161,5,1,2.539021,MaxSatDddLadderScl,0.000106224,ok,0.002261892,5,5,38,5
0.006797276,1.7887537993920972,15.949999809265137,2246,25,16,FiniteSteps123,15,100,16,13,origB4,448,1177,448,16,1,7.914661,MaxSatDddLadderScl,0.000790668,ok,0.007587033,20,38,44,16
0.002573318,1.6010928961748634,17.799999237060547,136,25,2,FiniteSteps123,16,73,2,4,origB5,105,293,105,2,1,2.955046,MaxSatDddLadderScl,0.000110236,ok,0.002682946,5,3,66,2
0.001729389,1.0127388535031847,15.199999809265137,93,25,2,FiniteSteps123,17,2,2,2,origB6,0,159,0,2,1,2.02988,MaxSatDddLadderScl,6.69e-06,ok,0.00173537,5,0,0,2
0.009089505,3.078042328042328,15.25,2865,25,25,FiniteSteps123,18,107,25,21,origB7,1500,2327,1500,25,1,11.723244000000001,MaxSatDddLadderScl,0.002283514,ok,0.011372113,24,49,31,25
0.0026238869999999997,1.014388489208633,13.399999618530273,72,25,6,FiniteSteps123,19,6,6,2,origB8,0,141,0,6,1,3.016165,MaxSatDddLadderScl,1.3115e-05,ok,0.002636353,5,0,0,6
0.00443509,2.781725888324873,13.571428298950195,150,25,7,FiniteSteps123,20,96,7,8,origB9,327,548,327,7,1,5.250974,MaxSatDddLadderScl,0.000438476,ok,0.004872717,7,9,78,7
0.003087142,2.663157894736842,11.375,130,25,10,FiniteSteps123,21,64,10,8,origB10,286,506,286,10,1,3.662973,MaxSatDddLadderScl,0.000229559,ok,0.003316105,8,12,40,10
0.009967018000000001,2.6150943396226416,15.399999618530273,3202,25,23,FiniteSteps123,22,112,23,27,origB11,1224,2079,1224,23,1,12.744537000000001,MaxSatDddLadderScl,0.002393817,ok,0.012360057,25,65,22,23
0.003862466,1.5576923076923077,16.214284896850586,970,25,6,FiniteSteps123,23,54,6,7,origB12,225,729,225,6,1,4.284141,MaxSatDddLadderScl,0.000139452,ok,0.003998937,14,16,32,6
0.024751575999999997,3.8117457763475464,20.931034088134766,5915,33,23,FiniteSteps123,24,119,23,30,trackA1,3195,4738,3195,23,1,35.226891,MaxSatDddLadderScl,0.009993333,ok,0.034744212,29,76,18,23
0.019469962,3.9405128205128204,19.0,3735,33,33,FiniteSteps123,25,163,33,19,trackA2,2652,3842,2652,33,1,29.783227,MaxSatDddLadderScl,0.009855715,ok,0.029324805,25,77,51,33
0.019457420999999996,4.005464480874317,22.375,2061,33,15,FiniteSteps123,26,271,15,16,trackA3,2034,2932,2034,15,2,33.206027999999996,MaxSatDddLadderScl,0.013309132,ok,0.032765725,16,58,195,15
0.008310256,2.8822463768115942,19.214284896850586,1175,33,15,FiniteSteps123,27,108,15,11,trackA4,965,1591,965,15,1,10.377953,MaxSatDddLadderScl,0.001651238,ok,0.009960654,14,36,55,15
0.006324637,2.2911392405063293,19.25,876,33,12,FiniteSteps123,28,122,12,10,trackA5,565,1086,565,12,1,7.587331,MaxSatDddLadderScl,0.000979969,ok,0.007303765,12,23,85,12
0.003029202,1.7222222222222223,18.625,307,33,8,FiniteSteps123,29,50,8,7,trackA6,200,527,200,8,1,3.4589070000000004,MaxSatDddLadderScl,0.000154719,ok,0.003182243,8,8,34,8
0.003527645,2.2142857142857144,12.625,126,33,8,FiniteSteps123,30,67,8,6,trackA7,240,465,240,8,1,4.051723999999999,MaxSatDddLadderScl,0.000247371,ok,0.003774333,8,5,52,8
0.039432579999999995,7.967302452316076,19.88888931274414,4862,33,34,FiniteSteps123,31,209,34,41,trackA8,6783,8772,6783,34,1,105.996982,MaxSatDddLadderScl,0.06592974,ok,0.10536154,27,127,46,34
0.013984511000000002,3.3284671532846715,20.049999237060547,2616,33,25,FiniteSteps123,32,140,25,12,trackA9,1734,2736,1734,25,2,18.969821,MaxSatDddLadderScl,0.004487016,ok,0.018470674,20,69,43,25
0.008177044,2.510236220472441,18.176469802856445,1632,33,17,FiniteSteps123,33,86,17,15,trackA10,872,1594,872,17,1,9.468968,MaxSatDddLadderScl,0.000994748,ok,0.009171125,17,35,32,17
0.051139773,9.763352506162695,20.482759475708008,6144,33,33,FiniteSteps123,34,232,33,80,trackA11,9526,11882,9526,33,1,182.591212,MaxSatDddLadderScl,0.130447178,ok,0.181586208,29,152,45,33
0.070358008,10.533762057877814,21.714284896850586,6393,33,36,FiniteSteps123,35,212,36,99,trackA12,10816,13104,10816,36,2,165.27978099999999,MaxSatDddLadderScl,0.094128391,ok,0.164485469,28,161,12,36
0.007528647999999999,2.5996884735202492,17.33333396911621,2022,25,13,FiniteSteps123,36,108,13,8,trackB1,949,1669,949,13,1,9.361847,MaxSatDddLadderScl,0.001493137,ok,0.00902109,18,27,66,13
0.002108431,1.8104575163398693,14.800000190734863,87,25,5,FiniteSteps123,37,58,5,4,trackB2,110,277,110,5,2,2.50781,MaxSatDddLadderScl,0.000134824,ok,0.002242483,5,3,47,5
0.0025848859999999998,2.653179190751445,16.799999237060547,136,20,4,FiniteSteps123,38,57,4,8,trackB3,253,459,253,4,1,3.065837,MaxSatDddLadderScl,0.000215143,ok,0.002798262,5,14,39,4
0.009206757,3.68693009118541,15.949999809265137,2246,25,19,FiniteSteps123,39,122,19,20,trackB4,1571,2426,1571,19,1,14.218679,MaxSatDddLadderScl,0.00462996,ok,0.013835711,20,76,25,19
0.0035658670000000003,3.9562841530054644,17.799999237060547,136,25,7,FiniteSteps123,40,109,7,12,trackB5,506,724,506,7,1,4.781509,MaxSatDddLadderScl,0.000865251,ok,0.00443019,5,21,79,7
0.0024568800000000003,1.7070063694267517,15.199999809265137,93,25,2,FiniteSteps123,41,51,2,4,trackB6,106,268,106,2,1,2.871644,MaxSatDddLadderScl,8.904e-05,ok,0.002545177,5,1,46,2
0.010494633,3.205026455026455,15.25,2865,25,27,FiniteSteps123,42,104,27,16,trackB7,1482,2423,1482,27,1,14.498731000000001,MaxSatDddLadderScl,0.003622225,ok,0.014115979,24,59,16,27
0.0029606579999999997,2.7482014388489207,13.399999618530273,72,25,8,FiniteSteps123,43,93,8,6,trackB8,223,382,223,8,1,3.5379259999999997,MaxSatDddLadderScl,0.000278013,ok,0.003237773,5,9,74,8
0.0029727,3.6700507614213196,13.571428298950195,150,25,9,FiniteSteps123,44,69,9,13,trackB9,469,723,469,9,1,3.837245,MaxSatDddLadderScl,0.000537755,ok,0.003509564,7,36,22,9
0.002059504,1.320855614973262,12.857142448425293,126,25,8,FiniteSteps123,45,24,8,4,trackB10,53,247,53,8,1,2.369955,MaxSatDddLadderScl,2.636e-05,ok,0.002085145,7,2,14,8
0.012289365,3.1849056603773587,15.399999618530273,3202,25,31,FiniteSteps123,46,141,31,13,trackB11,1555,2532,1555,31,1,19.50462,MaxSatDddLadderScl,0.00679281,ok,0.019081421,25,59,49,31
0.005266341,3.0619658119658117,16.214284896850586,970,25,16,FiniteSteps123,47,76,16,20,trackB12,858,1433,858,16,1,6.585744999999999,MaxSatDddLadderScl,0.001018501,ok,0.006284109,14,42,16,16
0.03387657,5.432019308125502,20.931034088134766,5915,33,37,FiniteSteps123,48,185,37,26,stationA1,4947,6752,4947,37,2,77.660427,MaxSatDddLadderScl,0.043187941,ok,0.077063819,29,119,26,37
0.02044005,5.0430769230769235,19.0,3735,33,40,FiniteSteps123,49,159,40,18,stationA2,3575,4917,3575,40,1,34.676167,MaxSatDddLadderScl,0.013590495,ok,0.034029698,25,86,31,40
0.012724140999999998,3.5833333333333335,22.375,2061,33,19,FiniteSteps123,50,135,19,17,stationA3,1738,2623,1738,19,1,16.426452,MaxSatDddLadderScl,0.003295801,ok,0.016018877,16,54,60,19
0.0076302520000000006,3.1684782608695654,19.214284896850586,1175,33,17,FiniteSteps123,51,144,17,14,stationA4,1126,1749,1126,17,1,10.393172,MaxSatDddLadderScl,0.002122967,ok,0.009752552,14,38,87,17
0.0058840590000000005,2.8818565400843883,19.25,876,33,16,FiniteSteps123,52,103,16,15,stationA5,819,1366,819,16,1,7.346888,MaxSatDddLadderScl,0.001143755,ok,0.007027058,12,36,49,16
0.003052779,1.6176470588235294,18.625,307,33,10,FiniteSteps123,53,51,10,5,stationA6,177,495,177,10,1,3.454605,MaxSatDddLadderScl,0.000102393,ok,0.003154263,8,4,35,10
0.003324618,2.6666666666666665,12.625,126,33,12,FiniteSteps123,54,101,12,8,stationA7,329,560,329,12,1,4.019773,MaxSatDddLadderScl,0.000420555,ok,0.003744271,8,10,77,12
0.032503438999999995,8.59400544959128,19.88888931274414,4862,33,43,FiniteSteps123,55,174,43,50,stationA8,7533,9462,7533,43,1,71.810806,MaxSatDddLadderScl,0.038656464,ok,0.071158912,27,115,14,43
0.015180739999999998,3.5583941605839415,20.049999237060547,2616,33,27,FiniteSteps123,56,145,27,20,stationA9,1919,2925,1919,27,1,20.104781,MaxSatDddLadderScl,0.004414555,ok,0.019593956,20,64,52,27
0.008642482,2.5779527559055118,18.176469802856445,1632,33,21,FiniteSteps123,57,82,21,14,stationA10,893,1637,893,21,1,9.951974,MaxSatDddLadderScl,0.000894329,ok,0.00953542,17,43,16,21
0.03683792000000001,8.33935907970419,20.482759475708008,6144,33,41,FiniteSteps123,58,163,41,82,stationA11,7842,10149,7842,41,1,103.95365,MaxSatDddLadderScl,0.066141313,ok,0.102977986,29,97,23,41
0.050738642999999986,10.587620578778136,21.714284896850586,6393,33,44,FiniteSteps123,59,227,44,106,stationA12,10619,13171,10619,44,1,158.371345,MaxSatDddLadderScl,0.106648797,ok,0.157386356,28,170,11,44
0.008442835000000001,2.864485981308411,17.33333396911621,2022,25,19,FiniteSteps123,60,93,19,9,stationB1,1086,1839,1086,19,1,10.529167000000001,MaxSatDddLadderScl,0.001559105,ok,0.010000577,18,30,42,19
0.002988171,1.8300653594771241,14.800000190734863,87,25,7,FiniteSteps123,61,58,7,4,stationB2,113,280,113,7,1,3.5227019999999998,MaxSatDddLadderScl,0.000146807,ok,0.003134132,5,4,45,7
0.0029412830000000003,3.184971098265896,16.799999237060547,136,20,5,FiniteSteps123,62,95,5,10,stationB3,351,551,351,5,1,3.723933,MaxSatDddLadderScl,0.00051339,ok,0.003454086,5,13,75,5
0.009501084,3.4148936170212765,15.949999809265137,2246,25,31,FiniteSteps123,63,112,31,12,stationB4,1453,2247,1453,31,1,12.290890000000001,MaxSatDddLadderScl,0.00238933,ok,0.011889839,20,45,34,31
0.0037450929999999997,4.109289617486339,17.799999237060547,136,25,6,FiniteSteps123,64,94,6,14,stationB5,534,752,534,6,1,4.800307,MaxSatDddLadderScl,0.000738657,ok,0.004482897,5,29,57,6
0.003608993,1.9363057324840764,15.199999809265137,93,25,5,FiniteSteps123,65,46,5,4,stationB6,139,304,139,5,1,4.025778,MaxSatDddLadderScl,8.2825e-05,ok,0.003691091,5,3,36,5
0.015296927000000002,4.574074074074074,15.25,2865,25,40,FiniteSteps123,66,166,40,21,stationB7,2482,3458,2482,40,1,26.75294,MaxSatDddLadderScl,0.010949384,ok,0.026245505,24,66,58,40
0.004052312,2.446043165467626,13.399999618530273,72,25,10,FiniteSteps123,67,82,10,5,stationB8,191,340,191,10,1,4.62185,MaxSatDddLadderScl,0.000268812,ok,0.004320252,5,3,67,10
0.002905805,2.8578680203045685,13.571428298950195,150,25,11,FiniteSteps123,68,55,11,10,stationB9,317,563,317,11,1,3.483089,MaxSatDddLadderScl,0.000242217,ok,0.003147143,7,21,21,11
0.002476953,1.6898395721925135,12.857142448425293,126,25,11,FiniteSteps123,69,58,11,5,stationB10,119,316,119,11,1,2.8823719999999997,MaxSatDddLadderScl,9.7181e-05,ok,0.002573393,7,4,41,11
0.014187153000000001,4.119496855345912,15.399999618530273,3202,25,44,FiniteSteps123,70,143,44,16,stationB11,2253,3275,2253,44,1,25.830592,MaxSatDddLadderScl,0.01121277,ok,0.025398939,25,59,38,44
0.006073719,3.5683760683760686,16.214284896850586,970,25,19,FiniteSteps123,71,94,19,17,stationB12,1062,1670,1062,19,1,8.149803,MaxSatDddLadderScl,0.001763822,ok,0.007836876,14,51,22,19
