algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.041230684999999996,2.060337892196299,20.931034088134766,5915,33,34,InfiniteSteps180,0,206,34,12,origA1,1247,2561,1247,12,1,57.154385000000005,MaxSatDddLadderScl,0.004861202,ok,0.046090627,29,42,150,34
0.023693882,2.1917948717948716,19.0,3735,33,37,InfiniteSteps180,1,200,37,11,origA2,1065,2137,1065,37,1,28.265822,MaxSatDddLadderScl,0.00444274,ok,0.028136119,25,44,117,37
0.014158706999999998,2.25,22.375,2061,33,14,InfiniteSteps180,2,152,14,8,origA3,858,1647,858,14,1,16.152340000000002,MaxSatDddLadderScl,0.001905952,ok,0.016064092,16,33,105,14
0.0073756379999999995,1.8804347826086956,19.214284896850586,1175,33,22,InfiniteSteps180,3,94,22,7,origA4,454,1038,454,22,1,7.911617,MaxSatDddLadderScl,0.000498371,ok,0.007873455,14,13,59,22
0.007129390000000001,2.0569620253164556,19.25,876,33,19,InfiniteSteps180,4,128,19,10,origA5,473,975,473,19,1,8.125810000000001,MaxSatDddLadderScl,0.000952587,ok,0.008081271,12,11,96,19
0.0033816939999999998,1.6993464052287581,18.625,307,33,14,InfiniteSteps180,5,97,14,4,origA6,205,520,205,14,1,3.731776,MaxSatDddLadderScl,0.000319488,ok,0.003700505,8,3,78,14
0.002580464,2.080952380952381,12.625,126,33,15,InfiniteSteps180,6,80,15,6,origA7,213,437,213,15,1,2.870973,MaxSatDddLadderScl,0.000272818,ok,0.00285281,8,5,60,15
0.047395037000000015,6.381340579710145,19.214284896850586,4877,33,136,InfiniteSteps180,7,284,136,48,origA8,5437,7045,5437,46,1,144.733685,MaxSatDddLadderScl,0.097043221,ok,0.144437632,28,190,46,136
0.018932328999999998,2.774939172749392,20.049999237060547,2616,33,40,InfiniteSteps180,8,196,40,13,origA9,1313,2281,1313,40,1,24.393055,MaxSatDddLadderScl,0.005358739,ok,0.024290429,20,67,87,40
0.01318905,2.9653543307086614,18.176469802856445,1632,33,33,InfiniteSteps180,9,158,33,16,origA10,1144,1883,1144,23,1,15.721791,MaxSatDddLadderScl,0.002478061,ok,0.015666519,17,50,83,33
0.034319471,2.460655737704918,19.83333396911621,6162,33,25,InfiniteSteps180,10,158,25,10,origA11,1598,3002,1598,25,1,43.048639,MaxSatDddLadderScl,0.008584304,ok,0.042903134,30,59,72,25
0.042336035,2.945337620578778,21.714284896850586,6393,33,29,InfiniteSteps180,11,230,29,11,origA12,2224,3664,2224,29,1,64.131506,MaxSatDddLadderScl,0.02158811,ok,0.063923579,28,70,129,29
0.006826138,1.2429906542056075,17.33333396911621,2022,25,7,InfiniteSteps180,12,96,7,4,origB1,148,798,148,7,1,7.116979,MaxSatDddLadderScl,0.00024122,ok,0.00706673,18,3,84,7
0.002035921,1.5163398692810457,14.800000190734863,87,25,5,InfiniteSteps180,13,53,5,4,origB2,72,232,72,5,1,2.272043,MaxSatDddLadderScl,0.000189723,ok,0.002223164,5,3,45,5
0.001571096,2.346820809248555,16.799999237060547,136,20,7,InfiniteSteps180,14,68,7,6,origB3,219,406,219,7,1,1.815814,MaxSatDddLadderScl,0.000220179,ok,0.001790806,5,6,55,7
