algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,exit_code,external_status,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,time_to_best_value_ms,time_to_first_solution_ms,time_to_optimality_ms,time_to_prove_best_value_ms,total_time,trains,travel_and_resource_iters,travel_iters,ub,value_trace_version
0.75757065,1.2131938857602576,20.931034088134766,5915,33,6966,Continuous,,,0,69,6966,4,origA1,18,1508,195,69,1,785.859866,SatDddSclFreshAddClauses,0.006729197,ok,24.507386,24.507386,763.619308,763.619308,0.764299514,29,12,43,6966,1
2.3332544759999996,1.637948717948718,19.0,3735,33,7549,Continuous,,,1,84,7549,12,origA2,44,1597,458,84,1,2412.019639,SatDddSclFreshAddClauses,0.010081673,ok,33.428898,33.428898,2342.64079,2342.64079,2.343335806,25,25,45,7549,1
2.4885575529999997,1.71448087431694,22.375,2061,33,1329,Continuous,,,2,122,1329,6,origA3,21,1255,439,122,1,2769.680781,SatDddSclFreshAddClauses,0.253609191,ok,1747.162857,22.509588,2741.5232459999997,2741.5232459999997,2.742166387,16,15,94,1329,1
0.294327796,1.4547101449275361,19.214284896850586,1175,33,3760,Continuous,,,3,80,3760,4,origA4,11,803,207,80,1,312.489415,SatDddSclFreshAddClauses,0.006423777,ok,23.019813,23.019813,300.02211,300.02211,0.300751175,14,5,62,3760,1
0.249988123,1.6350210970464134,19.25,876,33,3469,Continuous,,,4,66,3469,7,origA5,14,775,247,66,1,263.441863,SatDddSclFreshAddClauses,0.006115519,ok,22.200870000000002,22.200870000000002,255.190817,255.190817,0.256103314,12,9,44,3469,1
0.072570611,1.4673202614379084,18.625,307,33,2644,Continuous,,,5,78,2644,3,origA6,4,449,127,78,1,81.132275,SatDddSclFreshAddClauses,0.005439067,ok,19.581276000000003,19.581276000000003,77.359427,77.359427,0.078009176,8,1,64,2644,1
0.12268371600000001,1.938095238095238,12.625,126,33,2218,Continuous,,,6,61,2218,6,origA7,8,407,165,61,1,131.922526,SatDddSclFreshAddClauses,0.004791427,ok,19.398858,19.398858,126.4682,126.4682,0.127474759,8,3,45,2218,1
34.450226106,3.7844202898550723,19.214284896850586,4877,33,27448,Continuous,,,7,107,27448,28,origA8,288,4178,2050,107,2,35469.370356,SatDddSclFreshAddClauses,0.029646141,ok,105.77436399999999,105.77436399999999,34479.033761,34479.033761,34.479871893,28,76,14,27448,1
2.719929909,1.8394160583941606,20.049999237060547,2616,33,7474,Continuous,,,8,81,7474,14,origA9,55,1512,496,81,1,2806.008136,SatDddSclFreshAddClauses,0.010075295,ok,34.140248,34.140248,2729.22884,2729.22884,2.730004857,20,32,35,7474,1
0.815698013,1.595275590551181,18.176469802856445,1632,33,5193,Continuous,,,9,60,5193,6,origA10,20,1013,298,60,1,843.476649,SatDddSclFreshAddClauses,0.005615258,ok,21.825135999999997,21.825135999999997,820.758555,820.758555,0.821312935,17,9,37,5193,1
43.739268307,3.518032786885246,19.83333396911621,6162,33,5190,Continuous,,,10,147,5190,20,origA11,242,4292,2230,147,1,64347.742924000006,SatDddSclFreshAddClauses,19.801868256,ok,66.373192,66.373192,63540.408882,63540.408882,63.541136235,30,90,43,5190,1
69.50073557300001,3.5112540192926045,21.714284896850586,6393,33,,Continuous,,,11,137,0,15,origA12,221,4368,2327,136,1,130469.29005999998,SatDddSclFreshAddClauses,59.647980112,timeout,54.061254000000005,54.061254000000005,,,129.14871537,28,89,45,6797,1
0.047182868,1.14797507788162,17.33333396911621,2022,25,1377,Continuous,,,12,65,1377,3,origB1,3,737,83,65,1,54.634749000000006,SatDddSclFreshAddClauses,0.005903672,ok,19.545931,19.545931,52.609842,52.609842,0.053086217,18,1,52,1377,1
0.017604605,1.2352941176470589,14.800000190734863,87,25,347,Continuous,,,13,42,347,2,origB2,1,189,32,42,1,21.095371,SatDddSclFreshAddClauses,0.002901737,ok,16.175055,16.175055,20.185640000000003,20.185640000000003,0.02050604,5,0,32,347,1
0.046261418000000006,1.907514450867052,16.799999237060547,136,20,974,Continuous,,,14,67,974,5,origB3,6,330,133,67,1,54.483346000000004,SatDddSclFreshAddClauses,0.006394593,ok,23.356485,23.356485,51.915949000000005,51.915949000000005,0.052655712,5,3,53,974,1
19.421400715999997,2.059270516717325,15.949999809265137,2246,25,55267,Continuous,,,15,107,55267,15,origB4,77,1355,393,107,2,20039.20532,SatDddSclFreshAddClauses,0.012687068,ok,37.552674,37.552674,19433.305012,19433.305012,19.434087489,20,29,60,55267,1
0.016929035000000002,1.0874316939890711,17.799999237060547,136,25,312,Continuous,,,16,22,312,2,origB5,1,199,12,22,1,19.440588,SatDddSclFreshAddClauses,0.002037333,ok,17.276949,17.276949,18.551418,18.551418,0.018966094,5,0,12,312,1
0.021930013,1.535031847133758,15.199999809265137,93,25,176,Continuous,,,17,78,176,3,origB6,2,241,76,78,1,30.232627,SatDddSclFreshAddClauses,0.007645664,ok,25.662072000000002,19.508589,28.979615,28.979615,0.029575394,5,1,66,176,1
,,15.25,2865,25,,Continuous,,,18,,,,origB7,,,,,,25983.973024000003,SatDddSclFreshAddClauses,,oom,,,,,,24,,,,
0.027904658,1.1151079136690647,13.399999618530273,72,25,676,Continuous,,,19,23,676,2,origB8,1,155,12,23,1,31.931275000000003,SatDddSclFreshAddClauses,0.002872942,ok,19.24476,19.24476,30.069286,30.069286,0.03077712,5,0,12,676,1
0.303218804,1.7208121827411167,13.571428298950195,150,25,5969,Continuous,,,20,45,5969,5,origB9,9,339,106,45,1,318.598702,SatDddSclFreshAddClauses,0.006313524,ok,22.561531,22.561531,309.103319,309.103319,0.309532021,7,4,27,5969,1
1.81903003,2.9263157894736844,11.375,130,25,6480,Continuous,,,21,87,6480,10,origB10,31,556,248,87,1,1876.940947,SatDddSclFreshAddClauses,0.008842218,ok,25.629908999999998,25.629908999999998,1827.224743,1827.224743,1.827871909,8,15,58,6480,1
,,,,,,cont,134,aborted,22,,,,origB11,,,,,,118740,sat_ddd_scl_fresh_addclauses,,aborted,,,,,118.74,,,,,
0.036135848,1.1132478632478633,16.214284896850586,970,25,1293,Continuous,,,23,33,1293,2,origB12,3,521,41,33,1,40.627962,SatDddSclFreshAddClauses,0.003189004,ok,19.457494,19.457494,38.44453,38.44453,0.039324562,14,0,21,1293,1
5.575210108,2.154465004022526,20.931034088134766,5915,33,14025,Continuous,,,24,64,14025,9,trackA1,107,2678,1014,64,1,5741.820284,SatDddSclFreshAddClauses,0.009379502,ok,39.597935,39.597935,5583.653499,5583.653499,5.584589306,29,30,19,14025,1
29.496238165,3.835897435897436,19.0,3735,33,10264,Continuous,,,25,121,10264,22,trackA2,249,3740,1879,121,1,35926.007485,SatDddSclFreshAddClauses,5.56649163,ok,85.504974,85.504974,35062.11644,35062.11644,35.062729435,25,80,26,10264,1
9.760828794999998,2.9959016393442623,22.375,2061,33,3351,Continuous,,,26,92,3351,13,trackA3,93,2193,1114,92,1,14136.129596,SatDddSclFreshAddClauses,4.1786146,ok,33.820653,33.820653,13938.815509,13938.815509,13.939443092,16,37,42,3351,1
