algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,exit_code,external_status,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,time_to_best_value_ms,time_to_first_solution_ms,time_to_optimality_ms,time_to_prove_best_value_ms,total_time,trains,travel_and_resource_iters,travel_iters,ub,value_trace_version
0.763691503,1.2131938857602576,20.931034088134766,5915,33,6966,Continuous,,,0,69,6966,4,origA1,18,1508,195,69,1,790.445214,SatDddSclFreshAddClauses,0.006095357,ok,22.395543,22.395543,769.217044,769.217044,0.769786389,29,12,43,6966,1
2.2271073730000004,1.637948717948718,19.0,3735,33,7549,Continuous,,,1,84,7549,12,origA2,44,1597,458,84,1,2299.351398,SatDddSclFreshAddClauses,0.009847355,ok,33.900382,33.900382,2236.186651,2236.186651,2.23695437,25,25,45,7549,1
2.32366502,1.71448087431694,22.375,2061,33,1329,Continuous,,,2,122,1329,6,origA3,21,1255,439,122,1,2599.5027410000002,SatDddSclFreshAddClauses,0.247920906,ok,1607.831633,22.129699,2570.8130229999997,2570.8130229999997,2.57158558,16,15,94,1329,1
0.29593036699999997,1.4547101449275361,19.214284896850586,1175,33,3760,Continuous,,,3,80,3760,4,origA4,11,803,207,80,1,311.444568,SatDddSclFreshAddClauses,0.006862148,ok,23.609592,23.609592,301.980936,301.980936,0.302792201,14,5,62,3760,1
0.23735810999999998,1.6350210970464134,19.25,876,33,3469,Continuous,,,4,66,3469,7,origA5,14,775,247,66,1,249.87337100000002,SatDddSclFreshAddClauses,0.005434549,ok,21.013157,21.013157,242.347592,242.347592,0.242792403,12,9,44,3469,1
0.08281588399999999,1.4673202614379084,18.625,307,33,2644,Continuous,,,5,78,2644,3,origA6,4,449,127,78,1,91.289882,SatDddSclFreshAddClauses,0.005105884,ok,25.597787,25.597787,82.710352,82.710352,0.087921404,8,1,64,2644,1
0.121411273,1.938095238095238,12.625,126,33,2218,Continuous,,,6,61,2218,6,origA7,8,407,165,61,1,130.053004,SatDddSclFreshAddClauses,0.004524302,ok,18.842412,18.842412,125.46697300000001,125.46697300000001,0.125935197,8,3,45,2218,1
31.723982331,3.7844202898550723,19.214284896850586,4877,33,27448,Continuous,,,7,107,27448,28,origA8,288,4178,2050,107,2,32606.278394,SatDddSclFreshAddClauses,0.028866223,ok,121.458537,121.458537,31752.287981999998,31752.287981999998,31.752848194,28,76,14,27448,1
2.901543379,1.8394160583941606,20.049999237060547,2616,33,7474,Continuous,,,8,81,7474,14,origA9,55,1512,496,81,1,2993.573672,SatDddSclFreshAddClauses,0.011124848,ok,41.640072,41.640072,2911.841665,2911.841665,2.912667925,20,32,35,7474,1
0.938497373,1.595275590551181,18.176469802856445,1632,33,5193,Continuous,,,9,60,5193,6,origA10,20,1013,298,60,1,967.060027,SatDddSclFreshAddClauses,0.005612847,ok,21.568607,21.568607,943.517658,943.517658,0.944109903,17,9,37,5193,1
