objective,instance,MS-Base,MS-Def,IS-Def,PS-Def
Round,stationA11,75.3%,75.3%,100.0%,100.0%
Round,stationA12,81.1%,80.8%,100.0%,100.0%
Round,trackA11,77.3%,77.1%,31.7%,100.0%
Round,trackA12,82.6%,82.4%,100.0%,100.0%
Cont,origA8,39.5%,39.3%,50.0%,100.0%
Cont,origB11,9.0%,8.9%,—,—
Cont,stationA1,62.4%,63.0%,—,100.0%
Cont,stationA11,92.1%,90.7%,—,—
Cont,stationA12,93.6%,92.7%,—,—
Cont,stationA2,57.5%,58.7%,50.0%,100.0%
Cont,stationA8,79.0%,78.0%,—,—
Cont,trackA11,90.4%,91.1%,—,—
Cont,trackA12,91.7%,91.7%,—,—
Cont,trackA8,69.5%,69.1%,—,—
Cont,trackB12,46.1%,45.8%,0.1%,100.0%
