instance,BigM,TI,MS-Base,MS-Def,IS-Def,IS-Not,PS-Def,PS-Not
trackA1,156.7,"1,528.1",91.5,116.1,351.2,351.8,T/O,T/O
trackA2,115.5,"2,007.7",65.3,60.5,264.4,268.8,T/O,T/O
trackA8,"107,419.4",T/O,"13,979.4","8,149.1","24,376.7","24,540.2",T/O,T/O
trackA11,T/O,T/O,T/O,T/O,T/O,T/O,T/O,T/O
trackA12,T/O,T/O,T/O,T/O,T/O,T/O,T/O,T/O
stationA1,"5,466.8","45,125.6",102.8,137.3,"2,216.8","2,214.6",T/O,T/O
stationA2,656.3,"6,012.5",65.0,120.6,"1,079.1","1,083.3",T/O,T/O
stationA8,T/O,T/O,"38,478.2","22,805.2","92,453.7","92,308.6",T/O,T/O
stationA11,T/O,T/O,T/O,T/O,T/O,T/O,T/O,T/O
stationA12,T/O,T/O,T/O,T/O,T/O,T/O,T/O,T/O
