instance,BigM,TI,MS-Base,MS-Def,IS-Def,IS-Not,PS-Def,PS-Not
trackA1,341.2,"8,731.1",73.6,55.2,277.7,287.0,"17,725.2","17,404.6"
trackA2,147.5,"1,608.9",36.7,30.2,118.5,118.9,"1,174.1","1,193.3"
trackA8,"1,809.7","21,327.7",92.3,86.8,331.8,332.1,"28,534.4","28,634.0"
trackA11,"13,539.8","40,987.5",156.8,209.4,"1,295.7","1,296.4",T/O,T/O
trackA12,"4,746.7","17,827.2",151.0,101.0,922.9,935.6,T/O,T/O
stationA1,"1,559.1","1,200.0",74.5,107.6,485.8,485.7,"20,168.0","21,115.8"
stationA2,157.5,"1,537.3",50.8,60.7,181.5,184.0,"3,481.0","3,463.3"
stationA8,724.9,"2,472.7",97.1,121.5,"1,053.1","1,047.7","77,157.9","77,526.4"
stationA11,"1,887.4","6,152.5",101.3,110.1,"1,618.4","1,594.7",T/O,T/O
stationA12,586.3,"3,263.2",242.9,177.8,"1,309.0","1,310.9",T/O,T/O
