instance,solver,cost_type,timeout,build_time,solve_time,cpo_obj,verified_cost,status,valid
InstanceA1,cp,finsteps123,120,.022422117,120.048139159,,37,,True
InstanceA10,cp,finsteps123,120,.020876419,120.057594314,,21,,True
InstanceA11,cp,finsteps123,120,.020235523,120.046631998,,41,,False
InstanceA12,cp,finsteps123,120,.028516767,120.039622870,,44,,True
InstanceA2,cp,finsteps123,120,.034491569,120.040402378,,40,,True
InstanceA3,cp,finsteps123,120,.019534300,120.084650443,,19,,True
InstanceA4,cp,finsteps123,120,.020724100,120.056428296,,17,,True
InstanceA5,cp,finsteps123,120,.028285013,120.054401150,,16,,True
InstanceA6,cp,finsteps123,120,.024435349,.038076330,,10,,True
InstanceA7,cp,finsteps123,120,.016180857,119.184958963,,12,,True
InstanceA8,cp,finsteps123,120,.019022333,120.050299717,,43,,True
InstanceA9,cp,finsteps123,120,.018526308,119.584299761,,27,,True
InstanceB1,cp,finsteps123,120,.037235383,120.045052010,,19,,False
InstanceB10,cp,finsteps123,120,.027856358,.030773580,,11,,True
InstanceB11,cp,finsteps123,120,.015881719,120.064070058,,44,,True
InstanceB12,cp,finsteps123,120,.018321581,120.055670281,,19,,False
InstanceB2,cp,finsteps123,120,.022993424,120.072432191,,7,,True
InstanceB3,cp,finsteps123,120,.020634962,.031641628,,5,,True
InstanceB4,cp,finsteps123,120,.018734965,120.055340959,,31,,True
InstanceB5,cp,finsteps123,120,.019504219,120.072975660,,6,,True
InstanceB6,cp,finsteps123,120,.023121381,.029508308,,5,,True
InstanceB7,cp,finsteps123,120,.018422699,120.046112911,,40,,True
InstanceB8,cp,finsteps123,120,.019446793,120.084479655,,10,,True
InstanceB9,cp,finsteps123,120,.017785578,120.070490243,,11,,True
