instance,solver,cost_type,timeout,build_time,solve_time,cpo_obj,verified_cost,status,valid
InstanceA1,cp,finsteps123,120,.018440418,120.067640947,,23,,True
InstanceA10,cp,finsteps123,120,.018034465,.118612991,,17,,True
InstanceA11,cp,finsteps123,120,.019245340,120.067426429,,33,,True
InstanceA12,cp,finsteps123,120,.024181504,120.091972706,,36,,False
InstanceA2,cp,finsteps123,120,.017288715,120.048805605,,33,,True
InstanceA3,cp,finsteps123,120,.016712393,120.045127567,,15,,True
InstanceA4,cp,finsteps123,120,.025060118,120.047457724,,15,,True
InstanceA5,cp,finsteps123,120,.024931444,.061072048,,12,,True
InstanceA6,cp,finsteps123,120,.016835328,.031951389,,8,,True
InstanceA7,cp,finsteps123,120,.014440409,.031995115,,8,,True
InstanceA8,cp,finsteps123,120,.015966258,120.085889444,,34,,False
InstanceA9,cp,finsteps123,120,.030389719,120.051670237,,25,,True
InstanceB1,cp,finsteps123,120,.020577569,120.041727539,,13,,True
InstanceB10,cp,finsteps123,120,.017194962,.033097527,,8,,True
InstanceB11,cp,finsteps123,120,.018409432,120.044711157,,31,,True
InstanceB12,cp,finsteps123,120,.030898095,120.049069887,,16,,True
InstanceB2,cp,finsteps123,120,.015784713,.028303901,,5,,True
InstanceB3,cp,finsteps123,120,.017113152,.027450947,,4,,True
InstanceB4,cp,finsteps123,120,.021252555,120.046830050,,19,,True
InstanceB5,cp,finsteps123,120,.028803699,120.061870240,,7,,True
InstanceB6,cp,finsteps123,120,.018329032,.028316351,,2,,True
InstanceB7,cp,finsteps123,120,.017286544,120.043132932,,27,,False
InstanceB8,cp,finsteps123,120,.023580465,.029807654,,8,,True
InstanceB9,cp,finsteps123,120,.014415860,120.062816571,,9,,True
