instance,solver,cost_type,timeout,build_time,solve_time,cost,gap,status,valid
InstanceA1,bigm,finsteps123,120,.787449634,.387487833,11,,integer,True
InstanceA10,bigm,finsteps123,120,.429932611,.118067208,17,,integer,True
InstanceA11,bigm,finsteps123,120,.835648617,.605836098,23,,integer,True
InstanceA12,bigm,finsteps123,120,.806441509,1.381393490,24,,integer,True
InstanceA2,bigm,finsteps123,120,.629003375,.249539761,25,,integer,True
InstanceA3,bigm,finsteps123,120,.489473622,.125509984,10,,integer,True
InstanceA4,bigm,finsteps123,120,.403897554,.077038055,17,,integer,True
InstanceA5,bigm,finsteps123,120,.404271661,.069239353,15,,integer,True
InstanceA6,bigm,finsteps123,120,.334940146,.045083529,10,,integer,True
InstanceA7,bigm,finsteps123,120,.433786271,.027998002,10,,integer,True
InstanceA8,bigm,finsteps123,120,.670685095,.376291895,31,,integer,True
InstanceA9,bigm,finsteps123,120,.538406698,.120286868,18,,integer,True
InstanceB1,bigm,finsteps123,120,.465674120,.088971148,4,,integer,True
InstanceB10,bigm,finsteps123,120,.418638955,.028067806,10,,integer,True
InstanceB11,bigm,finsteps123,120,.980168330,.238585236,23,,integer,True
InstanceB12,bigm,finsteps123,120,.390706671,.072444363,6,,integer,True
InstanceB2,bigm,finsteps123,120,.331877894,.026082890,5,,integer,True
InstanceB3,bigm,finsteps123,120,.349526191,.023555209,5,,integer,True
InstanceB4,bigm,finsteps123,120,.484764688,.207839929,16,,integer,True
InstanceB5,bigm,finsteps123,120,.336794637,.029575359,2,,integer,True
InstanceB6,bigm,finsteps123,120,.332624318,.022362966,2,,integer,True
InstanceB7,bigm,finsteps123,120,.523718551,.149100170,25,,integer,True
InstanceB8,bigm,finsteps123,120,.431535600,.034640859,6,,integer,True
InstanceB9,bigm,finsteps123,120,.338396971,.025595574,7,,integer,True
