instance,solver,cost_type,timeout,build_time,solve_time,cost,gap,status,valid
InstanceA1,bigm,cont,120,.061934685,2.226997302,12884,,integer,True
InstanceA10,bigm,cont,120,.023270151,.180065172,6565,,integer,True
InstanceA11,bigm,cont,120,.042244475,120.094614015,20869,,time,True
InstanceA12,bigm,cont,120,.041303981,120.590141292,23256,,time,True
InstanceA2,bigm,cont,120,.033538145,1.398703093,9193,,integer,True
InstanceA3,bigm,cont,120,.025365147,.310431710,3681,,integer,True
InstanceA4,bigm,cont,120,.023120157,.118864391,3122,,integer,True
InstanceA5,bigm,cont,120,.022486478,.082103999,3306,,integer,True
InstanceA6,bigm,cont,120,.016994847,.036243496,2149,,integer,True
InstanceA7,bigm,cont,120,.015333111,.028440837,1762,,integer,True
InstanceA8,bigm,cont,120,.039769235,120.079119242,26906,,time,True
InstanceA9,bigm,cont,120,.028432171,.396730074,7655,,integer,True
InstanceB1,bigm,cont,120,.026101667,.270873754,4246,,integer,True
InstanceB10,bigm,cont,120,.018381984,.027770751,8761,,integer,True
InstanceB11,bigm,cont,120,.028888075,.715981959,72973,,integer,True
InstanceB12,bigm,cont,120,.020975709,.139067298,20947,,integer,True
InstanceB2,bigm,cont,120,.016708623,.026880870,4798,,integer,True
InstanceB3,bigm,cont,120,.017101967,.032017296,674,,integer,True
InstanceB4,bigm,cont,120,.026827716,.289337368,62616,,integer,True
InstanceB5,bigm,cont,120,.015119358,.028796522,1485,,integer,True
InstanceB6,bigm,cont,120,.016270024,.027010947,461,,integer,True
InstanceB7,bigm,cont,120,.028597668,.539540159,59333,,integer,True
InstanceB8,bigm,cont,120,.016039499,.025899024,2300,,integer,True
InstanceB9,bigm,cont,120,.016759746,.031542365,12006,,integer,True
