instance,solver,cost_type,timeout,build_time,solve_time,cost,gap,status,valid
InstanceA1,bigm,infsteps180,120,.042953700,3.134862201,81,,integer,True
InstanceA10,bigm,infsteps180,120,.023131579,.171675911,41,,integer,True
InstanceA11,bigm,infsteps180,120,.038560409,120.082579735,127,,time,True
InstanceA12,bigm,infsteps180,120,.040484040,120.083794905,139,,time,True
InstanceA2,bigm,infsteps180,120,.029035276,1.109866217,59,,integer,True
InstanceA3,bigm,infsteps180,120,.023504216,.277108886,26,,integer,True
InstanceA4,bigm,infsteps180,120,.021041555,.101353847,22,,integer,True
InstanceA5,bigm,infsteps180,120,.023262996,.082616426,23,,integer,True
InstanceA6,bigm,infsteps180,120,.017081436,.038556553,15,,integer,True
InstanceA7,bigm,infsteps180,120,.016020365,.032631352,16,,integer,True
InstanceA8,bigm,infsteps180,120,.033044840,83.581983340,161,,integer,True
InstanceA9,bigm,infsteps180,120,.028842353,.461381666,49,,integer,True
InstanceB1,bigm,infsteps180,120,.024983189,.330824984,30,,integer,True
InstanceB10,bigm,infsteps180,120,.016616869,.028087841,53,,integer,True
InstanceB11,bigm,infsteps180,120,.030056682,1.689660027,415,,integer,True
InstanceB12,bigm,infsteps180,120,.017819214,.160932479,120,,integer,True
InstanceB2,bigm,infsteps180,120,.016111813,.028898280,29,,integer,True
InstanceB3,bigm,infsteps180,120,.015373197,.032948601,6,,integer,True
InstanceB4,bigm,infsteps180,120,.024226817,1.259050030,355,,integer,True
InstanceB5,bigm,infsteps180,120,.016102577,.041937308,10,,integer,True
InstanceB6,bigm,infsteps180,120,.016626271,.034390912,5,,integer,True
InstanceB7,bigm,infsteps180,120,.024846169,.586101068,339,,integer,True
InstanceB8,bigm,infsteps180,120,.014749113,.024256466,16,,integer,True
InstanceB9,bigm,infsteps180,120,.016522539,.043544960,70,,integer,True
