instance,solver,cost_type,timeout,build_time,solve_time,cost,gap,status,valid
InstanceA1,bigm,cont,120,.046965584,.676824182,9621,,integer,True
InstanceA10,bigm,cont,120,.021818972,.116810447,4812,,integer,True
InstanceA11,bigm,cont,120,.043206949,120.095264106,17054,,time,True
InstanceA12,bigm,cont,120,.045433383,120.091120092,18515,,time,True
InstanceA2,bigm,cont,120,.035606420,.672190741,6859,,integer,True
InstanceA3,bigm,cont,120,.025178930,.156290032,2077,,integer,True
InstanceA4,bigm,cont,120,.021738183,.087618967,2069,,integer,True
InstanceA5,bigm,cont,120,.021783940,.079694100,2773,,integer,True
InstanceA6,bigm,cont,120,.017041951,.036549332,1679,,integer,True
InstanceA7,bigm,cont,120,.016604252,.029460042,1393,,integer,True
InstanceA8,bigm,cont,120,.037908234,30.011450432,24441,,integer,True
InstanceA9,bigm,cont,120,.029098327,.243405253,6310,,integer,True
InstanceB1,bigm,cont,120,.024749603,.150870419,1507,,integer,True
InstanceB10,bigm,cont,120,.014112431,.026828617,6912,,integer,True
InstanceB11,bigm,cont,120,.027769666,.318015494,68844,,integer,True
InstanceB12,bigm,cont,120,.020180290,.153652145,15182,,integer,True
InstanceB2,bigm,cont,120,.017093038,.027551299,4404,,integer,True
InstanceB3,bigm,cont,120,.015706383,.029317655,596,,integer,True
InstanceB4,bigm,cont,120,.023274953,.193384056,60558,,integer,True
InstanceB5,bigm,cont,120,.016272129,.029318759,1662,,integer,True
InstanceB6,bigm,cont,120,.016861409,.029000768,209,,integer,True
InstanceB7,bigm,cont,120,.025893901,.320996880,56119,,integer,True
InstanceB8,bigm,cont,120,.017193850,.025738243,1906,,integer,True
InstanceB9,bigm,cont,120,.019317096,.035365895,8593,,integer,True
