instance,solver,cost_type,timeout,build_time,solve_time,cost,gap,status,valid
InstanceA1,bigm,finsteps123,120,.040656540,.817549246,24,,integer,True
InstanceA10,bigm,finsteps123,120,.020129312,.133435494,17,,integer,True
InstanceA11,bigm,finsteps123,120,.045363208,2.447454593,33,,integer,True
InstanceA12,bigm,finsteps123,120,.040851696,4.698565831,36,,integer,True
InstanceA2,bigm,finsteps123,120,.033883896,.550674579,33,,integer,True
InstanceA3,bigm,finsteps123,120,.026720487,.213057427,15,,integer,True
InstanceA4,bigm,finsteps123,120,.022464318,.090943449,15,,integer,True
InstanceA5,bigm,finsteps123,120,.018214573,.065820489,12,,integer,True
InstanceA6,bigm,finsteps123,120,.017774078,.037216936,8,,integer,True
InstanceA7,bigm,finsteps123,120,.016205626,.028882693,8,,integer,True
InstanceA8,bigm,finsteps123,120,.038317525,1.618286587,34,,integer,True
InstanceA9,bigm,finsteps123,120,.027526446,.258165052,25,,integer,True
InstanceB1,bigm,finsteps123,120,.026204209,.119034604,13,,integer,True
InstanceB10,bigm,finsteps123,120,.016654575,.027097191,8,,integer,True
InstanceB11,bigm,finsteps123,120,.029999716,.220371903,31,,integer,True
InstanceB12,bigm,finsteps123,120,.019973705,.075838301,16,,integer,True
InstanceB2,bigm,finsteps123,120,.015401846,.023926666,5,,integer,True
InstanceB3,bigm,finsteps123,120,.014564870,.028425571,4,,integer,True
InstanceB4,bigm,finsteps123,120,.023360570,.159405149,19,,integer,True
InstanceB5,bigm,finsteps123,120,.017453610,.027749892,7,,integer,True
InstanceB6,bigm,finsteps123,120,.016411284,.026641855,2,,integer,True
InstanceB7,bigm,finsteps123,120,.028196321,.183049621,27,,integer,True
InstanceB8,bigm,finsteps123,120,.016930572,.025814062,8,,integer,True
InstanceB9,bigm,finsteps123,120,.016419742,.036986273,9,,integer,True
