instance,solver,cost_type,timeout,build_time,solve_time,cost,gap,status,valid
InstanceA1,bigm,infsteps180,120,.039583392,.734706956,60,,integer,True
InstanceA10,bigm,infsteps180,120,.021209014,.152245857,33,,integer,True
InstanceA11,bigm,infsteps180,120,.043945219,120.089045169,107,,time,True
InstanceA12,bigm,infsteps180,120,.040547462,120.079639360,114,,time,True
InstanceA2,bigm,infsteps180,120,.034423328,.735778269,48,,integer,True
InstanceA3,bigm,infsteps180,120,.026023432,.264881347,18,,integer,True
InstanceA4,bigm,infsteps180,120,.021435409,.127575403,18,,integer,True
InstanceA5,bigm,infsteps180,120,.020296564,.078888276,19,,integer,True
InstanceA6,bigm,infsteps180,120,.019195531,.042266029,11,,integer,True
InstanceA7,bigm,infsteps180,120,.016659716,.031092967,10,,integer,True
InstanceA8,bigm,infsteps180,120,.039010660,34.767375969,146,,integer,True
InstanceA9,bigm,infsteps180,120,.028034927,.419855480,43,,integer,True
InstanceB1,bigm,infsteps180,120,.025042559,.235137063,14,,integer,True
InstanceB10,bigm,infsteps180,120,.016405441,.027375383,41,,integer,True
InstanceB11,bigm,infsteps180,120,.035803309,.419151753,391,,integer,True
InstanceB12,bigm,infsteps180,120,.019531210,.167660992,88,,integer,True
InstanceB2,bigm,infsteps180,120,.017891801,.028098894,26,,integer,True
InstanceB3,bigm,infsteps180,120,.016125835,.031186095,4,,integer,True
InstanceB4,bigm,infsteps180,120,.025733244,.226200512,341,,integer,True
InstanceB5,bigm,infsteps180,120,.014248881,.035337709,11,,integer,True
InstanceB6,bigm,infsteps180,120,.013784645,.024397628,2,,integer,True
InstanceB7,bigm,infsteps180,120,.027974050,.315516794,318,,integer,True
InstanceB8,bigm,infsteps180,120,.016335983,.027142593,12,,integer,True
InstanceB9,bigm,infsteps180,120,.016998565,.044791757,51,,integer,True
