instance,solver,cost_type,timeout,build_time,solve_time,cost,gap,status,valid
InstanceA1,bigm,cont,120,.042584359,.362295538,5526,,integer,True
InstanceA10,bigm,cont,120,.024352400,.095693229,4746,,integer,True
InstanceA11,bigm,cont,120,.042163516,.777007526,3331,,integer,True
InstanceA12,bigm,cont,120,.043321863,1.059038313,4247,,integer,True
InstanceA2,bigm,cont,120,.032582303,.259800288,5804,,integer,True
InstanceA3,bigm,cont,120,.023976314,.125758707,1329,,integer,True
InstanceA4,bigm,cont,120,.023170436,.065518976,2706,,integer,True
InstanceA5,bigm,cont,120,.020512674,.062418480,2634,,integer,True
InstanceA6,bigm,cont,120,.017615335,.035419326,2043,,integer,True
InstanceA7,bigm,cont,120,.018015411,.029066473,1918,,integer,True
InstanceA8,bigm,cont,120,.037932950,2.392281771,23143,,integer,True
InstanceA9,bigm,cont,120,.026840070,.178587097,6178,,integer,True
InstanceB1,bigm,cont,120,.025515808,.104689668,969,,integer,True
InstanceB10,bigm,cont,120,.017984558,.029581179,5747,,integer,True
InstanceB11,bigm,cont,120,.030295103,.350820725,75494,,integer,True
InstanceB12,bigm,cont,120,.021348224,.057002515,918,,integer,True
InstanceB2,bigm,cont,120,.016465666,.025864682,347,,integer,True
InstanceB3,bigm,cont,120,.016722355,.029493513,629,,integer,True
InstanceB4,bigm,cont,120,.025934585,.126736074,53607,,integer,True
InstanceB5,bigm,cont,120,.015869216,.025911486,288,,integer,True
InstanceB6,bigm,cont,120,.016440554,.025673306,176,,integer,True
InstanceB7,bigm,cont,120,.028136531,.193785100,65828,,integer,True
InstanceB8,bigm,cont,120,.016566594,.028796362,676,,integer,True
InstanceB9,bigm,cont,120,.016737590,.029990414,5967,,integer,True
