instance,solver,cost_type,timeout,build_time,solve_time,cost,gap,status,valid
InstanceA1,bigm,finsteps123,120,.072560004,.417555993,11,,integer,True
InstanceA10,bigm,finsteps123,120,.024122358,.114183182,17,,integer,True
InstanceA11,bigm,finsteps123,120,.042139973,.581378276,23,,integer,True
InstanceA12,bigm,finsteps123,120,.045928716,1.266006799,24,,integer,True
InstanceA2,bigm,finsteps123,120,.030254853,.245460914,25,,integer,True
InstanceA3,bigm,finsteps123,120,.023890450,.129587470,10,,integer,True
InstanceA4,bigm,finsteps123,120,.021079450,.072464279,17,,integer,True
InstanceA5,bigm,finsteps123,120,.020134745,.057897769,15,,integer,True
InstanceA6,bigm,finsteps123,120,.017608201,.042334649,10,,integer,True
InstanceA7,bigm,finsteps123,120,.015484419,.027949236,10,,integer,True
InstanceA8,bigm,finsteps123,120,.039254272,.367483649,31,,integer,True
InstanceA9,bigm,finsteps123,120,.029664946,.116046484,18,,integer,True
InstanceB1,bigm,finsteps123,120,.025198006,.090202987,4,,integer,True
InstanceB10,bigm,finsteps123,120,.017202449,.027040044,10,,integer,True
InstanceB11,bigm,finsteps123,120,.028874145,.229933850,23,,integer,True
InstanceB12,bigm,finsteps123,120,.019583277,.072400978,6,,integer,True
InstanceB2,bigm,finsteps123,120,.017668575,.025690781,5,,integer,True
InstanceB3,bigm,finsteps123,120,.017271063,.028234741,5,,integer,True
InstanceB4,bigm,finsteps123,120,.024760070,.098002190,16,,integer,True
InstanceB5,bigm,finsteps123,120,.016171566,.027051106,2,,integer,True
InstanceB6,bigm,finsteps123,120,.014520370,.024011871,2,,integer,True
InstanceB7,bigm,finsteps123,120,.026894899,.141572045,25,,integer,True
InstanceB8,bigm,finsteps123,120,.016540357,.023945403,6,,integer,True
InstanceB9,bigm,finsteps123,120,.017301197,.030042058,7,,integer,True
