instance,solver,cost_type,timeout,build_time,solve_time,cost,gap,status,valid
InstanceA1,bigm,infsteps180,120,.041447243,.539283684,34,,integer,True
InstanceA10,bigm,infsteps180,120,.022885917,.132338285,33,,integer,True
InstanceA11,bigm,infsteps180,120,.042854804,.795935025,25,,integer,True
InstanceA12,bigm,infsteps180,120,.041905056,1.430475082,29,,integer,True
InstanceA2,bigm,infsteps180,120,.031821857,.326488095,37,,integer,True
InstanceA3,bigm,infsteps180,120,.024529178,.175567183,14,,integer,True
InstanceA4,bigm,infsteps180,120,.018507830,.094873217,22,,integer,True
InstanceA5,bigm,infsteps180,120,.019912972,.069468397,19,,integer,True
InstanceA6,bigm,infsteps180,120,.018731427,.040819516,14,,integer,True
InstanceA7,bigm,infsteps180,120,.016127107,.028894583,15,,integer,True
InstanceA8,bigm,infsteps180,120,.036559234,1.463413009,136,,integer,True
InstanceA9,bigm,infsteps180,120,.029069067,.232033818,40,,integer,True
InstanceB1,bigm,infsteps180,120,.024583400,.149480918,7,,integer,True
InstanceB10,bigm,infsteps180,120,.016108229,.029739988,34,,integer,True
InstanceB11,bigm,infsteps180,120,.024506314,.535918389,425,,integer,True
InstanceB12,bigm,infsteps180,120,.019742922,.062254695,6,,integer,True
InstanceB2,bigm,infsteps180,120,.016537699,.027076045,5,,integer,True
InstanceB3,bigm,infsteps180,120,.016267820,.029595678,7,,integer,True
InstanceB4,bigm,infsteps180,120,.024610672,.155502636,301,,integer,True
InstanceB5,bigm,infsteps180,120,.014166575,.026396852,2,,integer,True
InstanceB6,bigm,infsteps180,120,.014777605,.022945336,2,,integer,True
InstanceB7,bigm,infsteps180,120,.028851293,.284255999,370,,integer,True
InstanceB8,bigm,infsteps180,120,.015628259,.023567790,6,,integer,True
InstanceB9,bigm,infsteps180,120,.015694655,.030193403,35,,integer,True
