instance,solver,cost_type,timeout,build_time,solve_time,cost,gap,status,valid
InstanceA1,ti,cont,120,,,,,error,false
InstanceA10,ti,cont,120,,,,,error,false
InstanceA11,ti,cont,120,,,,,error,false
InstanceA12,ti,cont,120,,,,,error,false
InstanceA2,ti,cont,120,,,,,error,false
InstanceA3,ti,cont,120,,,,,error,false
InstanceA4,ti,cont,120,,,,,error,false
InstanceA5,ti,cont,120,,,,,error,false
InstanceA6,ti,cont,120,,,,,error,false
InstanceA7,ti,cont,120,,,,,error,false
InstanceA8,ti,cont,120,,,,,error,false
InstanceA9,ti,cont,120,,,,,error,false
InstanceB1,ti,cont,120,,,,,error,false
InstanceB10,ti,cont,120,,,,,error,false
InstanceB11,ti,cont,120,,,,,error,false
InstanceB12,ti,cont,120,,,,,error,false
InstanceB2,ti,cont,120,,,,,error,false
InstanceB3,ti,cont,120,,,,,error,false
InstanceB4,ti,cont,120,,,,,error,false
InstanceB5,ti,cont,120,.338539111,86.857719870,1712,,integer,True
InstanceB6,ti,cont,120,.219788657,120.629525260,506,,time,True
InstanceB7,ti,cont,120,,,,,error,false
InstanceB8,ti,cont,120,,,,,error,false
InstanceB9,ti,cont,120,,,,,error,false
