instance,solver,cost_type,timeout,build_time,solve_time,cost,gap,status,valid
InstanceA1,ti,finsteps123,120,,,,,error,false
InstanceA10,ti,finsteps123,120,,,,,error,false
InstanceA11,ti,finsteps123,120,,,,,error,false
InstanceA12,ti,finsteps123,120,,,,,error,false
InstanceA2,ti,finsteps123,120,,,,,error,false
InstanceA3,ti,finsteps123,120,,,,,error,false
InstanceA4,ti,finsteps123,120,,,,,error,false
InstanceA5,ti,finsteps123,120,,,,,error,false
InstanceA6,ti,finsteps123,120,,,,,error,false
InstanceA7,ti,finsteps123,120,,,,,error,false
InstanceA8,ti,finsteps123,120,,,,,error,false
InstanceA9,ti,finsteps123,120,,,,,error,false
InstanceB1,ti,finsteps123,120,,,,,error,false
InstanceB10,ti,finsteps123,120,,,,,error,false
InstanceB11,ti,finsteps123,120,,,,,error,false
InstanceB12,ti,finsteps123,120,,,,,error,false
InstanceB2,ti,finsteps123,120,,,,,error,false
InstanceB3,ti,finsteps123,120,,,,,error,false
InstanceB4,ti,finsteps123,120,,,,,error,false
InstanceB5,ti,finsteps123,120,.340102256,120.578953345,9,,time,True
InstanceB6,ti,finsteps123,120,.222427305,120.298014294,5,,time,True
InstanceB7,ti,finsteps123,120,,,,,error,false
InstanceB8,ti,finsteps123,120,,,,,error,false
InstanceB9,ti,finsteps123,120,,,,,error,false
