instance,solver,cost_type,timeout,build_time,solve_time,cost,gap,status,valid
InstanceA1,ti,cont,120,,,,,error,false
InstanceA10,ti,cont,120,,,,,error,false
InstanceA11,ti,cont,120,,,,,error,false
InstanceA12,ti,cont,120,,,,,error,false
InstanceA2,ti,cont,120,,,,,error,false
InstanceA3,ti,cont,120,,,,,error,false
InstanceA4,ti,cont,120,,,,,error,false
InstanceA5,ti,cont,120,,,,,error,false
InstanceA6,ti,cont,120,.474325947,120.616951539,1679,,time,True
InstanceA7,ti,cont,120,.290134420,120.448214973,1813,,time,True
InstanceA8,ti,cont,120,,,,,error,false
InstanceA9,ti,cont,120,,,,,error,false
InstanceB1,ti,cont,120,,,,,error,false
InstanceB10,ti,cont,120,1.254421402,120.320681670,6912,,time,True
InstanceB11,ti,cont,120,,,,,error,false
InstanceB12,ti,cont,120,,,,,error,false
InstanceB2,ti,cont,120,,,,,error,false
InstanceB3,ti,cont,120,.243687880,121.014194873,672,,time,True
InstanceB4,ti,cont,120,,,,,error,false
InstanceB5,ti,cont,120,.303905802,16.839640618,1662,,integer,True
InstanceB6,ti,cont,120,.222790136,120.348139988,209,,time,True
InstanceB7,ti,cont,120,,,,,error,false
InstanceB8,ti,cont,120,.220736376,8.709368079,2088,,integer,True
InstanceB9,ti,cont,120,,,,,error,false
