instance,solver,cost_type,timeout,build_time,solve_time,cost,gap,status,valid
InstanceA1,ti,infsteps180,120,,,,,error,false
InstanceA10,ti,infsteps180,120,,,,,error,false
InstanceA11,ti,infsteps180,120,,,,,error,false
InstanceA12,ti,infsteps180,120,,,,,error,false
InstanceA2,ti,infsteps180,120,,,,,error,false
InstanceA3,ti,infsteps180,120,,,,,error,false
InstanceA4,ti,infsteps180,120,,,,,error,false
InstanceA5,ti,infsteps180,120,,,,,error,false
InstanceA6,ti,infsteps180,120,.423927062,120.588578123,13,,time,True
InstanceA7,ti,infsteps180,120,.280496484,121.378988525,12,,time,True
InstanceA8,ti,infsteps180,120,,,,,error,false
InstanceA9,ti,infsteps180,120,,,,,error,false
InstanceB1,ti,infsteps180,120,,,,,error,false
InstanceB10,ti,infsteps180,120,.241570098,120.708170817,41,,time,True
InstanceB11,ti,infsteps180,120,,,,,error,false
InstanceB12,ti,infsteps180,120,,,,,error,false
InstanceB2,ti,infsteps180,120,,,,,error,false
InstanceB3,ti,infsteps180,120,.262600791,120.458128195,4,,time,True
InstanceB4,ti,infsteps180,120,,,,,error,false
InstanceB5,ti,infsteps180,120,.285706203,8.950768167,11,,integer,True
InstanceB6,ti,infsteps180,120,.243517057,120.327269719,2,,time,True
InstanceB7,ti,infsteps180,120,,,,,error,false
InstanceB8,ti,infsteps180,120,.226296598,3.124689651,14,,integer,True
InstanceB9,ti,infsteps180,120,.301300659,120.539359799,52,,time,True
