instance,solver,cost_type,timeout,build_time,solve_time,cost,gap,status,valid
InstanceA1,ti,cont,120,,,,,error,false
InstanceA10,ti,cont,120,1.759849955,121.526647552,5370,,time,True
InstanceA11,ti,cont,120,,,,,error,false
InstanceA12,ti,cont,120,,,,,error,false
InstanceA2,ti,cont,120,,,,,error,false
InstanceA3,ti,cont,120,,,,,error,false
InstanceA4,ti,cont,120,,,,,error,false
InstanceA5,ti,cont,120,.668181236,120.956077657,3332,,time,True
InstanceA6,ti,cont,120,.428663872,120.533842010,2068,,time,True
InstanceA7,ti,cont,120,.277653498,120.440050425,1918,,time,True
InstanceA8,ti,cont,120,,,,,error,false
InstanceA9,ti,cont,120,,,,,error,false
InstanceB1,ti,cont,120,.944522475,121.237388092,1024,,time,True
InstanceB10,ti,cont,120,.264031727,120.389280765,6054,,time,True
InstanceB11,ti,cont,120,,,,,error,false
InstanceB12,ti,cont,120,.637439537,12.203420221,918,,integer,True
InstanceB2,ti,cont,120,.203835451,41.671237093,347,,integer,True
InstanceB3,ti,cont,120,.255172385,120.374745196,949,,time,True
InstanceB4,ti,cont,120,1.070016075,121.852213077,55031,,time,True
InstanceB5,ti,cont,120,.256820102,120.333799556,312,,time,True
InstanceB6,ti,cont,120,.224599403,72.671332668,176,,integer,True
InstanceB7,ti,cont,120,,,,,error,false
InstanceB8,ti,cont,120,.194543053,1.030502415,676,,integer,True
InstanceB9,ti,cont,120,.305663162,121.606471391,6428,,time,True
