instance,solver,cost_type,timeout,build_time,solve_time,cost,gap,status,valid
InstanceA1,ti,finsteps123,120,,,,,error,false
InstanceA10,ti,finsteps123,120,.965017303,121.451523837,27,,time,True
InstanceA11,ti,finsteps123,120,,,,,error,false
InstanceA12,ti,finsteps123,120,,,,,error,false
InstanceA2,ti,finsteps123,120,,,,,error,false
InstanceA3,ti,finsteps123,120,,,,,error,false
InstanceA4,ti,finsteps123,120,,,,,error,false
InstanceA5,ti,finsteps123,120,.726859393,120.952472601,16,,time,True
InstanceA6,ti,finsteps123,120,.437383498,120.538778313,10,,time,True
InstanceA7,ti,finsteps123,120,.292229209,8.863675966,10,,integer,True
InstanceA8,ti,finsteps123,120,,,,,error,false
InstanceA9,ti,finsteps123,120,1.328012498,121.846904749,26,,time,True
InstanceB1,ti,finsteps123,120,.949715407,121.261742210,4,,time,True
InstanceB10,ti,finsteps123,120,.259985674,82.308719174,10,,integer,True
InstanceB11,ti,finsteps123,120,,,,,error,false
InstanceB12,ti,finsteps123,120,.682981815,18.245936203,6,,integer,True
InstanceB2,ti,finsteps123,120,.228260852,55.098011677,5,,integer,True
InstanceB3,ti,finsteps123,120,.249496571,120.374373888,7,,time,True
InstanceB4,ti,finsteps123,120,1.077800595,121.629694727,24,,time,True
InstanceB5,ti,finsteps123,120,.254226393,28.193574433,2,,integer,True
InstanceB6,ti,finsteps123,120,.221409943,43.194980046,2,,integer,True
InstanceB7,ti,finsteps123,120,,,,,error,false
InstanceB8,ti,finsteps123,120,.187719860,1.046371996,6,,integer,True
InstanceB9,ti,finsteps123,120,.321165932,120.507498791,8,,time,True
