instance,solver,cost_type,timeout,build_time,solve_time,cost,gap,status,valid
InstanceA1,ti,infsteps180,120,,,,,error,false
InstanceA10,ti,infsteps180,120,.927057512,121.262461175,44,,time,True
InstanceA11,ti,infsteps180,120,,,,,error,false
InstanceA12,ti,infsteps180,120,,,,,error,false
InstanceA2,ti,infsteps180,120,,,,,error,false
InstanceA3,ti,infsteps180,120,,,,,error,false
InstanceA4,ti,infsteps180,120,,,,,error,false
InstanceA5,ti,infsteps180,120,.686161387,120.940540902,23,,time,True
InstanceA6,ti,infsteps180,120,.431293357,120.508659077,18,,time,True
InstanceA7,ti,infsteps180,120,.285190830,120.851887530,17,,time,True
InstanceA8,ti,infsteps180,120,,,,,error,false
InstanceA9,ti,infsteps180,120,,,,,error,false
InstanceB1,ti,infsteps180,120,.941638858,121.254222436,7,,time,True
InstanceB10,ti,infsteps180,120,.248625173,120.387923659,36,,time,True
InstanceB11,ti,infsteps180,120,,,,,error,false
InstanceB12,ti,infsteps180,120,.668806425,5.890325481,6,,integer,True
InstanceB2,ti,infsteps180,120,.195769489,48.600720152,5,,integer,True
InstanceB3,ti,infsteps180,120,.256685908,120.445819029,12,,time,True
InstanceB4,ti,infsteps180,120,1.060145557,121.594457779,332,,time,True
InstanceB5,ti,infsteps180,120,.245871293,7.449598134,2,,integer,True
InstanceB6,ti,infsteps180,120,.222887954,5.955119651,2,,integer,True
InstanceB7,ti,infsteps180,120,,,,,error,false
InstanceB8,ti,infsteps180,120,.176253221,1.038007413,6,,integer,True
InstanceB9,ti,infsteps180,120,.293953599,120.493109154,37,,time,True
