algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.053300557,1.576830249396621,20.931034088134766,5915,33,6771,Continuous,0,84,6771,12,origA1,50,1960,596,84,1,81.635786,SatDddSclTotalizer,0.025611065,ok,0.078910984,29,29,42,6771
0.09307765299999998,1.8482051282051282,19.0,3735,33,5882,Continuous,1,56,5882,14,origA2,88,1802,612,56,1,268.610481,SatDddSclTotalizer,0.166992346,ok,0.260069419,25,35,8,5882
0.018158495,1.709016393442623,22.375,2061,33,1329,Continuous,2,62,1329,6,origA3,34,1251,427,62,1,25.049718,SatDddSclTotalizer,0.006456473,ok,0.024614391,16,20,31,1329
0.022388139,1.960144927536232,19.214284896850586,1175,33,2706,Continuous,3,53,2706,7,origA4,39,1082,438,53,1,32.451609,SatDddSclTotalizer,0.009165628,ok,0.031552891,14,19,22,2706
0.018214013,1.8248945147679325,19.25,876,33,2634,Continuous,4,57,2634,9,origA5,26,865,329,57,1,25.569589,SatDddSclTotalizer,0.006848818,ok,0.025062059,12,13,32,2634
0.013187454999999999,1.5816993464052287,18.625,307,33,2154,Continuous,5,51,2154,4,origA6,11,484,148,51,1,16.809068,SatDddSclTotalizer,0.003523185,ok,0.016709971,8,6,33,2154
0.015805622,2.8190476190476192,12.625,126,33,1918,Continuous,6,72,1918,9,origA7,23,592,324,72,1,26.357276,SatDddSclTotalizer,0.010182791,ok,0.025987795,8,14,47,1918
0.389845975,2.9519927536231885,19.214284896850586,4877,33,23648,Continuous,7,48,23648,33,origA8,325,3259,1393,48,1,799.562899,SatDddSclTotalizer,0.382753835,ok,0.772598935,28,33,0,23648
0.031271528,1.572992700729927,20.049999237060547,2616,33,6574,Continuous,8,44,6574,8,origA9,46,1293,356,44,1,40.782116,SatDddSclTotalizer,0.008463995,ok,0.039734865,20,19,12,6574
0.04668634899999999,2.311811023622047,18.176469802856445,1632,33,4746,Continuous,9,60,4746,10,origA10,60,1468,683,60,1,116.960278,SatDddSclTotalizer,0.065840876,ok,0.112526722,17,30,17,4746
0.048180977,1.719672131147541,19.83333396911621,6162,33,5090,Continuous,10,55,5090,9,origA11,83,2098,680,55,1,69.459209,SatDddSclTotalizer,0.019336359,ok,0.067516546,30,33,9,5090
0.055083406,1.817524115755627,21.714284896850586,6393,33,4950,Continuous,11,49,4950,9,origA12,102,2261,792,49,1,77.298935,SatDddSclTotalizer,0.01974193,ok,0.074824549,28,31,5,4950
0.012726217,1.1775700934579438,17.33333396911621,2022,25,969,Continuous,12,41,969,4,origB1,8,756,94,41,1,15.818339,SatDddSclTotalizer,0.003020172,ok,0.015745746,18,6,25,969
0.012264365999999999,1.4183006535947713,14.800000190734863,87,25,347,Continuous,13,55,347,3,origB2,2,217,58,55,1,15.936541,SatDddSclTotalizer,0.003615857,ok,0.015879516,5,1,45,347
0.012300675,1.953757225433526,16.799999237060547,136,20,629,Continuous,14,40,629,7,origB3,14,338,127,40,1,15.154143,SatDddSclTotalizer,0.002798033,ok,0.015098103,5,7,23,629
0.16985167499999998,2.164133738601824,15.949999809265137,2246,25,53651,Continuous,15,45,53651,17,origB4,169,1424,392,45,1,307.793419,SatDddSclTotalizer,0.120697528,ok,0.290548382,20,29,0,53651
0.012009467999999999,1.284153005464481,17.799999237060547,136,25,288,Continuous,16,46,288,3,origB5,2,235,46,46,1,15.315698,SatDddSclTotalizer,0.003259437,ok,0.015268206,5,1,36,288
0.011908484,1.3184713375796178,15.199999809265137,93,25,176,Continuous,17,44,176,3,origB6,2,207,44,44,1,15.05862,SatDddSclTotalizer,0.003095986,ok,0.015003648,5,1,35,176
2.033990916,2.7023809523809526,15.25,2865,25,66037,Continuous,18,38,66037,29,origB7,327,2043,549,38,1,2778.280247,SatDddSclTotalizer,0.662573711,ok,2.696563557,24,21,0,66037
0.012262796999999999,1.2877697841726619,13.399999618530273,72,25,676,Continuous,19,46,676,2,origB8,1,179,36,46,1,15.131351,SatDddSclTotalizer,0.002803658,ok,0.015065537,5,0,36,676
0.027720233999999996,3.984771573604061,13.571428298950195,150,25,5969,Continuous,20,78,5969,15,origB9,35,785,504,78,1,57.864565,SatDddSclTotalizer,0.028464163,ok,0.056183784,7,25,40,5969
0.019601401,3.4105263157894736,11.375,130,25,5747,Continuous,21,48,5747,12,origB10,38,648,356,48,1,27.305853,SatDddSclTotalizer,0.006846924,ok,0.026447714,8,20,15,5747
5.0128091779999995,2.280503144654088,15.399999618530273,3202,25,75744,Continuous,22,36,75744,25,origB11,277,1813,408,36,1,6515.235426,SatDddSclTotalizer,1.3818435980000001,ok,6.39465148,25,19,0,75744
0.012477844,1.2222222222222223,16.214284896850586,970,25,918,Continuous,23,33,918,5,origB12,9,572,80,33,1,14.384954,SatDddSclTotalizer,0.001847672,ok,0.014324926,14,5,18,918
0.25497719899999993,3.3885760257441673,20.931034088134766,5915,33,10105,Continuous,24,49,10105,15,trackA1,340,4212,2114,49,1,909.274185,SatDddSclTotalizer,0.630786893,ok,0.885763466,29,35,0,10105
0.3006301269999998,4.794871794871795,19.0,3735,33,7912,Continuous,25,61,7912,22,trackA2,524,4675,2599,61,1,8524.753858,SatDddSclTotalizer,8.192217055,ok,8.492846423,25,48,0,7912
0.045991343000000004,3.389344262295082,22.375,2061,33,2148,Continuous,26,59,2148,12,trackA3,152,2481,1362,59,1,126.441908,SatDddSclTotalizer,0.076582711,ok,0.122573399,16,35,12,2148
0.021668201,2.4782608695652173,19.214284896850586,1175,33,2103,Continuous,27,50,2103,10,trackA4,65,1368,639,50,1,32.957628,SatDddSclTotalizer,0.010306855,ok,0.03197445,14,26,12,2103
0.038529505,2.529535864978903,19.25,876,33,2773,Continuous,28,54,2773,18,trackA5,90,1199,539,54,1,86.724793,SatDddSclTotalizer,0.044879908,ok,0.083408772,12,34,8,2773
0.015813399000000002,2.189542483660131,18.625,307,33,1760,Continuous,29,61,1760,7,trackA6,28,670,300,61,1,22.86181,SatDddSclTotalizer,0.006734741,ok,0.022547354,8,16,34,1760
0.016792736,3.342857142857143,12.625,126,33,1393,Continuous,30,92,1393,10,trackA7,35,702,405,92,1,29.619095,SatDddSclTotalizer,0.012507001,ok,0.02929899,8,19,62,1393
23.29300450400001,9.051771117166213,19.88888931274414,4862,33,,Continuous,31,54,17348,42,trackA8,1652,9966,5380,54,1,123364.381068,SatDddSclTotalizer,100.071379606,timeout,123.364381068,27,52,0,34696
0.8021029009999999,3.8394160583941606,20.049999237060547,2616,33,6955,Continuous,32,56,6955,18,trackA9,284,3156,1676,56,1,1333.910652,SatDddSclTotalizer,0.512429068,ok,1.314530884,20,43,0,6955
0.036238189,2.0614173228346457,18.176469802856445,1632,33,4812,Continuous,33,35,4812,9,trackA10,90,1309,424,35,1,56.003609,SatDddSclTotalizer,0.016817852,ok,0.053055353,17,22,0,4812
