algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.034554705000000005,1.5607401448109413,20.931034088134766,5915,33,16,FiniteSteps123,0,145,16,8,origA1,45,1940,597,145,2,53.543269,SatDddScl,0.01807183,ok,0.052625859,29,28,111,16
0.015859356999999998,1.3743589743589744,19.0,3735,33,25,FiniteSteps123,1,25,25,7,origA2,37,1340,279,25,1,19.250252,SatDddScl,0.003191808,ok,0.019050574,25,14,6,25
0.015389636000000002,1.6844262295081966,22.375,2061,33,12,FiniteSteps123,2,62,12,8,origA3,33,1233,427,61,1,21.485736,SatDddScl,0.005968729,ok,0.021357611,16,21,36,12
0.013602835,1.4891304347826086,19.214284896850586,1175,33,17,FiniteSteps123,3,42,17,6,origA4,19,822,222,42,1,17.348012,SatDddScl,0.003631991,ok,0.017234223,14,11,26,17
0.014037349,1.7362869198312236,19.25,876,33,15,FiniteSteps123,4,59,15,6,origA5,20,823,305,59,1,19.301076,SatDddScl,0.005159855,ok,0.019196476,12,13,42,15
0.013364497000000001,1.6339869281045751,18.625,307,33,10,FiniteSteps123,5,60,10,3,origA6,8,500,172,60,1,18.459642,SatDddScl,0.00501744,ok,0.018381327,8,5,51,10
0.011551367,1.0952380952380953,12.625,126,33,10,FiniteSteps123,6,4,10,2,origA7,5,230,0,4,1,11.919282,SatDddScl,0.000297674,ok,0.011848274,8,0,0,10
0.034867177,2.5425724637681157,19.214284896850586,4877,33,34,FiniteSteps123,7,39,34,23,origA8,263,2807,1133,39,1,44.339744,SatDddScl,0.008965842,ok,0.043832414,28,33,0,34
0.012576786,1.0340632603406326,20.049999237060547,2616,33,18,FiniteSteps123,8,5,18,3,origA9,7,850,0,5,1,13.099352,SatDddScl,0.000425625,ok,0.013001729,20,0,0,18
0.017208768,2.1433070866141732,18.176469802856445,1632,33,18,FiniteSteps123,9,89,18,10,origA10,61,1361,612,89,3,30.398839,SatDddScl,0.01300119,ok,0.03020931,17,30,52,18
0.044466359,2.469672131147541,19.83333396911621,6162,33,34,FiniteSteps123,10,131,34,14,origA11,174,3013,1446,130,1,105.670293,SatDddScl,0.060352904,ok,0.104818768,30,62,62,34
0.03857001,2.229903536977492,21.714284896850586,6393,33,31,FiniteSteps123,11,66,31,12,origA12,147,2774,1227,65,1,54.652309,SatDddScl,0.01546035,ok,0.054029649,28,50,9,31
0.011675861,1.0124610591900312,17.33333396911621,2022,25,4,FiniteSteps123,12,3,4,2,origB1,2,650,0,3,1,12.102388,SatDddScl,0.000355782,ok,0.01203096,18,0,0,4
0.012397843,1.8758169934640523,14.800000190734863,87,25,5,FiniteSteps123,13,36,5,6,origB2,9,287,116,36,1,14.933203,SatDddScl,0.00248657,ok,0.014883727,5,6,27,5
0.013017426999999998,2.1040462427745665,16.799999237060547,136,20,5,FiniteSteps123,14,56,5,7,origB3,12,364,161,56,1,17.565126,SatDddScl,0.00444133,ok,0.017458094,5,7,46,5
0.015787143000000003,2.1458966565349544,15.949999809265137,2246,25,16,FiniteSteps123,15,52,16,13,origB4,96,1412,524,52,1,22.265104,SatDddScl,0.006329527,ok,0.022116039,20,36,11,16
0.012343999,1.289617486338798,17.799999237060547,136,25,2,FiniteSteps123,16,41,2,3,origB5,2,236,47,40,1,15.260459,SatDddScl,0.002865245,ok,0.015208656,5,1,37,2
0.01145003,1.0254777070063694,15.199999809265137,93,25,2,FiniteSteps123,17,2,2,2,origB6,1,161,0,2,1,11.682639,SatDddScl,0.000186417,ok,0.01163552,5,0,0,2
0.027313003000000002,4.884920634920635,15.25,2865,25,25,FiniteSteps123,18,79,25,46,origB7,1045,3693,1378,79,1,50.130001,SatDddScl,0.022361567,ok,0.049673859,24,74,0,25
0.011515751999999999,1.0287769784172662,13.399999618530273,72,25,6,FiniteSteps123,19,3,6,2,origB8,1,143,0,3,1,11.781457,SatDddScl,0.00021635,ok,0.01173141,5,0,0,6
0.013411376,2.568527918781726,13.571428298950195,150,25,7,FiniteSteps123,20,47,7,7,origB9,27,506,241,47,1,17.056429,SatDddScl,0.003571972,ok,0.016982559,7,15,29,7
0.012200695000000001,2.1210526315789475,11.375,130,25,10,FiniteSteps123,21,21,10,7,origB10,18,403,165,21,1,14.159651,SatDddScl,0.001893124,ok,0.014093152,8,9,8,10
0.017486105,2.342138364779874,15.399999618530273,3202,25,23,FiniteSteps123,22,89,23,39,origB11,234,1862,538,89,1,28.55017,SatDddScl,0.010881253,ok,0.028366852,25,32,52,23
0.012521106,1.2841880341880343,16.214284896850586,970,25,6,FiniteSteps123,23,32,6,5,origB12,13,601,105,32,1,14.649044,SatDddScl,0.002061964,ok,0.014582274,14,8,21,6
0.040845539,3.2341110217216413,20.931034088134766,5915,33,28,FiniteSteps123,24,40,28,17,trackA1,295,4020,2039,40,1,57.768382,SatDddScl,0.016227504,ok,0.057072453,29,35,0,28
0.031045902,3.5805128205128205,19.0,3735,33,35,FiniteSteps123,25,50,35,13,trackA2,261,3491,1932,50,1,51.200777,SatDddScl,0.019357883,ok,0.050403216,25,44,0,35
0.023869436999999997,4.027322404371585,22.375,2061,33,16,FiniteSteps123,26,61,16,16,trackA3,200,2948,1744,61,1,39.629087,SatDddScl,0.015423386,ok,0.039292248,16,51,5,16
0.01955442,3.306159420289855,19.214284896850586,1175,33,15,FiniteSteps123,27,104,15,20,trackA4,99,1825,1040,103,1,38.23593,SatDddScl,0.018436433,ok,0.037990324,14,36,62,15
