algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.037773573000000005,1.5526950925181013,20.931034088134766,5915,33,49,InfiniteSteps180,0,102,49,12,origA1,59,1930,583,102,2,61.900695,SatDddScl,0.022664596,ok,0.060437505,29,33,62,49
0.017828801000000002,1.398974358974359,19.0,3735,33,39,InfiniteSteps180,1,34,39,7,origA2,42,1364,288,34,1,23.725819,SatDddScl,0.005348988,ok,0.02317715,25,21,7,39
0.013618782999999999,1.2431693989071038,22.375,2061,33,14,InfiniteSteps180,2,24,14,4,origA3,12,910,140,24,1,15.772197,SatDddScl,0.001999079,ok,0.01561717,16,5,15,14
0.014321608,1.608695652173913,19.214284896850586,1175,33,22,InfiniteSteps180,3,51,22,6,origA4,25,888,280,51,1,19.947171,SatDddScl,0.005451492,ok,0.019772226,14,14,32,22
0.013666218,1.4873417721518987,19.25,876,33,19,InfiniteSteps180,4,40,19,5,origA5,17,705,187,40,1,17.134004,SatDddScl,0.003298499,ok,0.016964103,12,10,25,19
0.013549202,1.7124183006535947,18.625,307,33,15,InfiniteSteps180,5,57,15,4,origA6,12,524,192,57,1,18.197382,SatDddScl,0.004527011,ok,0.018075669,8,9,44,15
0.012959588999999999,2.1142857142857143,12.625,126,33,15,InfiniteSteps180,6,41,15,8,origA7,13,444,196,41,1,17.027728,SatDddScl,0.003944036,ok,0.016902761,8,8,29,15
0.076450249,2.509963768115942,19.214284896850586,4877,33,142,InfiniteSteps180,7,45,142,16,origA8,219,2771,1187,45,1,124.762368,SatDddScl,0.042887772,ok,0.119337308,28,37,0,142
0.022019304,2.127737226277372,20.049999237060547,2616,33,45,InfiniteSteps180,8,57,45,15,origA9,104,1749,735,57,1,34.473793,SatDddScl,0.011824153,ok,0.033842896,20,41,10,45
0.016621782,1.8787401574803149,18.176469802856445,1632,33,35,InfiniteSteps180,9,43,35,7,origA10,48,1193,450,43,1,22.746601,SatDddScl,0.005796625,ok,0.022417751,17,25,12,35
0.037459690000000004,1.990983606557377,19.83333396911621,6162,33,36,InfiniteSteps180,10,54,36,9,origA11,100,2429,967,54,1,50.786892,SatDddScl,0.012515447,ok,0.049974626,30,36,12,36
0.036773391,2.0787781350482315,21.714284896850586,6393,33,38,InfiniteSteps180,11,50,38,11,origA12,123,2586,1059,50,1,48.008427,SatDddScl,0.010432673,ok,0.047205387,28,39,5,38
0.013899713,1.1074766355140186,17.33333396911621,2022,25,7,InfiniteSteps180,12,43,7,3,origB1,3,711,59,42,1,17.803571,SatDddScl,0.003825911,ok,0.017724963,18,1,37,7
0.012254283,1.8758169934640523,14.800000190734863,87,25,5,InfiniteSteps180,13,36,5,6,origB2,9,287,116,36,1,15.167629,SatDddScl,0.002860794,ok,0.015114384,5,6,27,5
0.013148286000000002,2.606936416184971,16.799999237060547,136,20,7,InfiniteSteps180,14,39,7,8,origB3,18,451,238,39,1,16.339174,SatDddScl,0.003124809,ok,0.016272564,5,12,24,7
0.027031138999999996,2.6945288753799392,15.949999809265137,2246,25,302,InfiniteSteps180,15,68,302,23,origB4,244,1773,664,68,1,72.338428,SatDddScl,0.043850952,ok,0.070881489,20,58,1,302
0.012734654,1.289617486338798,17.799999237060547,136,25,2,InfiniteSteps180,16,41,2,3,origB5,2,236,47,40,1,15.713837,SatDddScl,0.002925638,ok,0.015659493,5,1,37,2
0.012564822,1.0254777070063694,15.199999809265137,93,25,2,InfiniteSteps180,17,2,2,2,origB6,1,161,0,2,1,12.808551,SatDddScl,0.000193933,ok,0.012757995,5,0,0,2
0.042775626000000004,2.8915343915343916,15.25,2865,25,372,InfiniteSteps180,18,37,372,27,origB7,337,2186,767,37,1,84.818935,SatDddScl,0.038437037,ok,0.081211877,24,28,0,372
0.012209564,1.0287769784172662,13.399999618530273,72,25,6,InfiniteSteps180,19,3,6,2,origB8,1,143,0,3,1,12.543201,SatDddScl,0.000279562,ok,0.012488414,5,0,0,6
0.013659825,2.253807106598985,13.571428298950195,150,25,35,InfiniteSteps180,20,32,35,7,origB9,21,444,191,32,1,16.329973,SatDddScl,0.002542567,ok,0.016201814,7,13,13,35
0.012787059,2.1473684210526316,11.375,130,25,34,InfiniteSteps180,21,25,34,8,origB10,25,408,162,25,1,15.195011,SatDddScl,0.002298474,ok,0.015084898,8,12,7,34
0.058392008,2.0716981132075474,15.399999618530273,3202,25,425,InfiniteSteps180,22,24,425,24,origB11,229,1647,337,24,1,101.838839,SatDddScl,0.037948264,ok,0.096339592,25,15,0,425
0.013602198,1.2713675213675213,16.214284896850586,970,25,6,InfiniteSteps180,23,31,6,5,origB12,10,595,103,31,1,16.305739,SatDddScl,0.002641905,ok,0.016243278,14,7,21,6
0.050300335999999994,3.168946098149638,20.931034088134766,5915,33,63,InfiniteSteps180,24,34,63,12,trackA1,302,3939,1882,34,1,81.223941,SatDddScl,0.028756363,ok,0.079055984,29,27,1,63
0.045581867,4.093333333333334,19.0,3735,33,57,InfiniteSteps180,25,46,57,18,trackA2,416,3991,2089,46,1,100.113147,SatDddScl,0.0518763,ok,0.097457527,25,40,0,57
0.024005867000000004,3.7363387978142075,22.375,2061,33,18,InfiniteSteps180,26,52,18,16,trackA3,188,2735,1570,52,1,43.080368,SatDddScl,0.018617684,ok,0.042622851,16,41,6,18
0.019397606999999997,2.7409420289855073,19.214284896850586,1175,33,18,InfiniteSteps180,27,49,18,10,trackA4,79,1513,769,49,1,30.244292,SatDddScl,0.010587007,ok,0.029983892,14,30,14,18
0.015962139,2.282700421940928,19.25,876,33,19,InfiniteSteps180,28,44,19,12,trackA5,66,1082,472,44,1,22.805324,SatDddScl,0.006606241,ok,0.022567812,12,29,10,19
0.012818223,1.8333333333333333,18.625,307,33,11,InfiniteSteps180,29,40,11,7,trackA6,15,561,215,40,1,16.198323,SatDddScl,0.003295164,ok,0.01611266,8,10,26,11
0.013516478000000002,2.4952380952380953,12.625,126,33,10,InfiniteSteps180,30,52,10,7,trackA7,22,524,259,52,1,18.485156,SatDddScl,0.004879828,ok,0.018395659,8,13,35,10
0.8812704420000017,32.490463215258856,19.88888931274414,4862,33,,InfiniteSteps180,31,218,192,158,trackA8,9332,35772,19377,218,1,120294.487028,SatDddScl,119.413218199,timeout,120.294487028,27,213,0,204
0.040544844999999996,4.504866180048662,20.049999237060547,2616,33,48,InfiniteSteps180,32,53,48,19,trackA9,357,3703,2072,53,1,122.258676,SatDddScl,0.079359316,ok,0.119903641,20,47,0,48
0.018210115,2.368503937007874,18.176469802856445,1632,33,33,InfiniteSteps180,33,35,33,11,trackA10,99,1504,625,35,1,25.647293,SatDddScl,0.007049842,ok,0.02525927,17,27,2,33
0.22704522699999985,9.76417419884963,20.482759475708008,6144,33,136,InfiniteSteps180,34,68,136,111,trackA11,2085,11883,6162,68,1,1460.941091,SatDddScl,1.209976313,ok,1.437021007,29,60,0,136
0.7074730109999905,27.65273311897106,21.714284896850586,6393,33,,InfiniteSteps180,35,177,170,258,trackA12,9174,34400,17222,177,1,120031.926195,SatDddScl,119.324453695,timeout,120.031926195,28,171,0,175
0.586431659,2.1713395638629285,17.33333396911621,2022,25,15,InfiniteSteps180,36,40,15,7,trackB1,61,1394,590,40,1,592.2634,SatDddScl,0.005565442,ok,0.591996481,18,20,16,15
0.012883176,2.0784313725490198,14.800000190734863,87,25,28,InfiniteSteps180,37,27,28,6,trackB2,18,318,113,27,1,15.741061,SatDddScl,0.002711989,ok,0.015594579,5,9,13,28
0.013488593,3.023121387283237,16.799999237060547,136,20,4,InfiniteSteps180,38,57,4,8,trackB3,35,523,270,57,1,18.570487,SatDddScl,0.005005967,ok,0.018493853,5,18,36,4
