algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
1.037838558,1.5526950925181013,20.931034088134766,5915,33,42,InfiniteSteps180,0,80,42,13,origA1,58,1930,577,80,1,549.953058,SatDddSclTotalizer,0.013225322,ok,1.051062779,29,34,40,42
0.034503632000000006,1.7753846153846153,19.0,3735,33,39,InfiniteSteps180,1,43,39,11,origA2,99,1731,545,43,1,43.357647,SatDddSclTotalizer,0.008621885,ok,0.043124817,25,31,6,39
0.02507927,1.2827868852459017,22.375,2061,33,14,InfiniteSteps180,2,24,14,4,origA3,17,939,155,24,1,28.061906,SatDddSclTotalizer,0.002829489,ok,0.027907827,16,7,13,14
0.017370407999999997,1.7952898550724639,19.214284896850586,1175,33,22,InfiniteSteps180,3,61,22,8,origA4,23,991,373,61,1,25.580876,SatDddSclTotalizer,0.008023707,ok,0.025393447,14,14,42,22
0.015592443,1.8354430379746836,19.25,876,33,19,InfiniteSteps180,4,47,19,8,origA5,26,870,336,47,1,21.180802,SatDddSclTotalizer,0.00545057,ok,0.021042312,12,14,28,19
0.016086780000000002,1.738562091503268,18.625,307,33,14,InfiniteSteps180,5,78,14,4,origA6,10,532,196,77,1,25.255205,SatDddSclTotalizer,0.009042768,ok,0.025128871,8,6,67,14
0.015424410999999999,2.204761904761905,12.625,126,33,15,InfiniteSteps180,6,62,15,5,origA7,18,463,197,62,1,23.17943,SatDddSclTotalizer,0.007618587,ok,0.023042206,8,8,50,15
0.052333651,2.5425724637681157,19.214284896850586,4877,33,142,InfiniteSteps180,7,38,142,19,origA8,260,2807,1122,38,1,62.570216,SatDddSclTotalizer,0.009732483,ok,0.062065422,28,30,0,142
0.034891777,2.278588807785888,20.049999237060547,2616,33,45,InfiniteSteps180,8,70,45,14,origA9,81,1873,864,70,1,47.26604,SatDddSclTotalizer,0.012087249,ok,0.04697824,20,38,26,45
0.019358792,2.040944881889764,18.176469802856445,1632,33,35,InfiniteSteps180,9,48,35,9,origA10,56,1296,535,48,1,26.539666,SatDddSclTotalizer,0.006978822,ok,0.026336768,17,24,18,35
