algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.589909951,1.6033789219629928,20.931034088134766,5915,33,49,InfiniteSteps180,0,109,49,11,origA1,60,1993,632,109,2,602.953299,SatDddSclTotalizer,0.01227631,ok,0.602185677,29,30,72,49
0.017741609000000002,1.9702564102564102,19.0,3735,33,39,InfiniteSteps180,1,48,39,14,origA2,106,1921,709,48,1,23.768596,SatDddSclTotalizer,0.005823729,ok,0.023564684,25,33,9,39
0.014873298,1.7663934426229508,22.375,2061,33,14,InfiniteSteps180,2,46,14,7,origA3,36,1293,477,46,1,18.69285,SatDddSclTotalizer,0.003691982,ok,0.018564529,16,18,24,14
0.013997355,1.7373188405797102,19.214284896850586,1175,33,22,InfiniteSteps180,3,53,22,7,origA4,27,959,337,53,1,18.183915,SatDddSclTotalizer,0.004084059,ok,0.018080744,14,15,33,22
0.013826342999999998,1.8776371308016877,19.25,876,33,19,InfiniteSteps180,4,51,19,8,origA5,27,890,352,51,1,17.842422,SatDddSclTotalizer,0.003915351,ok,0.017741161,12,15,31,19
0.014441708000000001,2.045751633986928,18.625,307,33,14,InfiniteSteps180,5,103,14,6,origA6,14,626,276,102,1,22.301616,SatDddSclTotalizer,0.007763587,ok,0.022204806,8,10,88,14
0.01280855,2.6857142857142855,12.625,126,33,15,InfiniteSteps180,6,43,15,12,origA7,24,564,286,43,1,16.2605,SatDddSclTotalizer,0.003367601,ok,0.016175599,8,13,26,15
0.02219319,2.635869565217391,19.214284896850586,4877,33,142,InfiniteSteps180,7,38,142,18,origA8,268,2910,1252,38,1,28.627938,SatDddSclTotalizer,0.006142224,ok,0.02833485,28,30,0,142
0.017464203999999997,2.1520681265206814,20.049999237060547,2616,33,45,InfiniteSteps180,8,65,45,13,origA9,91,1769,740,65,1,24.527161,SatDddSclTotalizer,0.006885976,ok,0.024349534,20,43,16,45
0.015725779000000002,2.1354330708661418,18.176469802856445,1632,33,35,InfiniteSteps180,9,47,35,10,origA10,71,1356,573,47,1,20.294823,SatDddSclTotalizer,0.004422178,ok,0.020147397,17,31,10,35
0.029384463,1.840983606557377,19.83333396911621,6162,33,36,InfiniteSteps180,10,51,36,8,origA11,95,2246,809,51,1,34.673992,SatDddSclTotalizer,0.005097101,ok,0.034480971,30,33,12,36
0.029015212000000002,1.8593247588424437,21.714284896850586,6393,33,38,InfiniteSteps180,11,38,38,10,origA12,125,2313,828,38,1,33.081919,SatDddSclTotalizer,0.0038656,ok,0.032880208,28,31,1,38
0.013862186999999998,1.1495327102803738,17.33333396911621,2022,25,7,InfiniteSteps180,12,42,7,3,origB1,4,738,82,41,1,16.460295,SatDddSclTotalizer,0.00246574,ok,0.016327227,18,2,35,7
0.014700781000000001,1.4183006535947713,14.800000190734863,87,25,5,InfiniteSteps180,13,49,5,3,origB2,2,217,58,49,1,18.006915,SatDddSclTotalizer,0.003214758,ok,0.017914824,5,1,45,5
0.013999584,1.9595375722543353,16.799999237060547,136,20,7,InfiniteSteps180,14,38,7,5,origB3,9,339,138,38,1,16.632718,SatDddSclTotalizer,0.002548145,ok,0.016547151,5,5,30,7
