algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.720683899,1.924376508447305,20.931034088134766,5915,33,6475,Continuous,0,90,8171,13,origA1,446,2392,446,11,2,738.855335,MaxSatDddLadderScl,0.017239946,ok,0.737922877,29,31,45,8171
0.030399647999999998,2.003076923076923,19.0,3735,33,7753,Continuous,1,110,8159,17,origA2,714,1953,714,31,2,40.144364,MaxSatDddLadderScl,0.009563484,ok,0.03996259,25,31,45,8159
0.016999221999999998,1.6871584699453552,22.375,2061,33,1964,Continuous,2,111,2007,6,origA3,260,1235,260,46,1,23.113676,MaxSatDddLadderScl,0.005983623,ok,0.022982291,16,14,49,2007
0.015257922,1.6123188405797102,19.214284896850586,1175,33,3503,Continuous,3,62,4041,4,origA4,175,890,175,12,1,16.862491,MaxSatDddLadderScl,0.001506554,ok,0.016763781,14,4,44,4041
0.019444882000000004,1.9514767932489452,19.25,876,33,3830,Continuous,4,150,4086,7,origA5,269,925,269,13,2,24.841521,MaxSatDddLadderScl,0.005288909,ok,0.024733258,12,15,119,4086
0.013693925,1.5686274509803921,18.625,307,33,2068,Continuous,5,67,4079,4,origA6,88,480,88,18,1,14.766504,MaxSatDddLadderScl,0.001021693,ok,0.014714926,8,7,40,4079
0.018646456999999998,2.619047619047619,12.625,126,33,1918,Continuous,0,156,1918,10,origA7,225,550,225,116,1,30.411586,MaxSatDddLadderScl,0.011142945,ok,0.029788873,8,8,32,1918
0.093703553,8.265398550724637,19.214284896850586,4877,33,27476,Continuous,7,351,32727,75,origA8,5254,9125,5254,22,4,604.518367,MaxSatDddLadderScl,0.509868559,ok,0.603571508,28,289,35,32727
0.03078045,2.4720194647201947,20.049999237060547,2616,33,7897,Continuous,8,102,8039,12,origA9,788,2032,788,13,1,46.061566,MaxSatDddLadderScl,0.015092528,ok,0.045872299,20,46,41,8039
0.015646818,1.8125984251968503,18.176469802856445,1632,33,6261,Continuous,9,68,8185,6,origA10,231,1151,231,13,1,19.767753,MaxSatDddLadderScl,0.003788148,ok,0.019434132,17,13,40,8185
0.043405092,2.3614754098360655,19.83333396911621,6162,33,3448,Continuous,10,141,4038,9,origA11,733,2881,733,79,1,104.731153,MaxSatDddLadderScl,0.061035471,ok,0.104439493,30,40,20,4038
0.06707661900000006,3.0112540192926045,21.714284896850586,6393,33,6876,Continuous,11,481,8104,21,origA12,1484,3746,1484,331,3,783.219206,MaxSatDddLadderScl,0.715609302,ok,0.782684838,28,86,60,8104
0.014268052,1.2274143302180685,17.33333396911621,2022,25,969,Continuous,12,39,1020,4,origB1,48,788,48,8,2,14.760515,MaxSatDddLadderScl,0.000435647,ok,0.014703095,18,2,26,1020
0.012934151999999999,1.4248366013071896,14.800000190734863,87,25,347,Continuous,13,23,347,3,origB2,27,218,27,8,1,13.093567,MaxSatDddLadderScl,0.000132379,ok,0.013065923,5,1,14,347
0.013189471,2.040462427745665,16.799999237060547,136,20,827,Continuous,14,30,1014,6,origB3,48,353,48,8,1,13.785764,MaxSatDddLadderScl,0.000524675,ok,0.013713563,5,7,13,1014
