algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.038966173,1.2968624296057925,20.931034088134766,5915,33,12,FiniteSteps123,0,72,15,7,origA1,297,1612,297,4,1,40.161436,MaxSatDddLadderScl,0.000581317,ok,0.039546774,29,12,54,15
0.031053663,1.7692307692307692,19.0,3735,33,28,FiniteSteps123,1,83,31,9,origA2,589,1725,589,5,2,33.890224,MaxSatDddLadderScl,0.002680301,ok,0.033733211,25,33,42,31
0.014696576,1.4153005464480874,22.375,2061,33,13,FiniteSteps123,2,55,15,6,origA3,229,1036,229,4,2,15.10777,MaxSatDddLadderScl,0.000357962,ok,0.015053943,16,11,37,15
0.015416263999999999,1.7318840579710144,19.214284896850586,1175,33,18,FiniteSteps123,3,82,31,8,origA4,330,956,330,5,1,16.227726,MaxSatDddLadderScl,0.000756159,ok,0.016171717,14,13,62,31
0.012095428,1.0421940928270041,19.25,876,33,15,FiniteSteps123,4,4,15,2,origA5,0,494,0,4,1,12.159332,MaxSatDddLadderScl,8.862e-06,ok,0.012103721,12,0,0,15
0.013389956,1.3660130718954249,18.625,307,33,10,FiniteSteps123,5,39,15,3,origA6,86,418,86,4,1,13.523035,MaxSatDddLadderScl,9.8566e-05,ok,0.013488002,8,3,30,15
0.013876077,1.9428571428571428,12.625,126,33,12,FiniteSteps123,6,45,15,6,origA7,136,408,136,4,1,14.104835,MaxSatDddLadderScl,0.000201415,ok,0.014076945,8,10,29,15
0.031282048,2.5824275362318843,19.214284896850586,4877,33,40,FiniteSteps123,7,71,63,17,origA8,1236,2851,1236,6,1,36.836787,MaxSatDddLadderScl,0.005368768,ok,0.036650161,28,48,15,63
0.026956767,1.8430656934306568,20.049999237060547,2616,33,30,FiniteSteps123,8,75,31,10,origA9,553,1515,553,5,2,28.216275,MaxSatDddLadderScl,0.001175432,ok,0.028131638,20,26,41,31
0.015386505,1.6409448818897638,18.176469802856445,1632,33,21,FiniteSteps123,9,57,31,7,origA10,301,1042,301,5,1,16.136884,MaxSatDddLadderScl,0.000689514,ok,0.016075445,17,16,34,31
0.044121417,2.091803278688525,19.83333396911621,6162,33,27,FiniteSteps123,10,94,31,9,origA11,1126,2552,1126,5,1,53.865569,MaxSatDddLadderScl,0.009552009,ok,0.053672873,30,50,37,31
0.042212438,2.2709003215434085,21.714284896850586,6393,33,25,FiniteSteps123,11,95,31,18,origA12,1306,2825,1306,5,1,48.788353,MaxSatDddLadderScl,0.006386598,ok,0.048598421,28,52,36,31
0.012201124,1.0124610591900312,17.33333396911621,2022,25,4,FiniteSteps123,12,1,4,2,origB1,0,650,0,1,1,12.257529,MaxSatDddLadderScl,6.513e-06,ok,0.012207043,18,0,0,4
0.012341832,1.2352941176470589,14.800000190734863,87,25,5,FiniteSteps123,13,37,7,2,origB2,32,189,32,3,1,12.410148,MaxSatDddLadderScl,3.7077e-05,ok,0.012378319,5,0,32,7
0.011807055,1.069364161849711,16.799999237060547,136,20,7,FiniteSteps123,14,3,7,2,origB3,0,185,0,3,1,11.827497,MaxSatDddLadderScl,6.985e-06,ok,0.011813387,5,0,0,7
0.016400817,1.9072948328267476,15.949999809265137,2246,25,16,FiniteSteps123,15,92,31,17,origB4,399,1255,399,5,1,18.25945,MaxSatDddLadderScl,0.001787181,ok,0.018186742,20,33,52,31
0.012543076,1.278688524590164,17.799999237060547,136,25,2,FiniteSteps123,16,41,3,3,origB5,45,234,45,2,1,12.637177,MaxSatDddLadderScl,5.6794e-05,ok,0.012599255,5,1,36,3
0.011829534,1.0254777070063694,15.199999809265137,93,25,2,FiniteSteps123,17,1,2,2,origB6,0,161,0,1,1,11.850906,MaxSatDddLadderScl,6.33e-06,ok,0.011835091,5,0,0,2
0.017992268000000002,3.011904761904762,15.25,2865,25,31,FiniteSteps123,18,63,31,29,origB7,1074,2277,1074,5,1,20.844381,MaxSatDddLadderScl,0.002715,ok,0.020706715,24,44,12,31
0.012855970999999999,1.0287769784172662,13.399999618530273,72,25,6,FiniteSteps123,19,2,6,2,origB8,0,143,0,2,1,12.881428,MaxSatDddLadderScl,7.53e-06,ok,0.012862782,5,0,0,6
0.01263065,1.101522842639594,13.571428298950195,150,25,7,FiniteSteps123,20,3,7,2,origB9,0,217,0,3,1,12.660862,MaxSatDddLadderScl,8.304e-06,ok,0.012638219,7,0,0,7
0.012978212999999999,2.7473684210526317,11.375,130,25,11,FiniteSteps123,21,52,15,11,origB10,260,522,260,4,1,13.410918,MaxSatDddLadderScl,0.000396708,ok,0.013374335,8,17,29,15
0.018232958,2.6238993710691823,15.399999618530273,3202,25,28,FiniteSteps123,22,78,31,31,origB11,817,2086,817,5,1,21.527663,MaxSatDddLadderScl,0.003169274,ok,0.021401791,25,46,25,31
0.012098167,1.0256410256410255,16.214284896850586,970,25,6,FiniteSteps123,23,2,6,2,origB12,0,480,0,2,1,12.129085,MaxSatDddLadderScl,7.63e-06,ok,0.012105124,14,0,0,6
0.061131375999999994,4.533386967015286,20.931034088134766,5915,33,28,FiniteSteps123,24,160,31,26,trackA1,3458,5635,3458,5,1,102.542808,MaxSatDddLadderScl,0.041084633,ok,0.102215383,29,101,52,31
0.041536675,4.5948717948717945,19.0,3735,33,42,FiniteSteps123,25,120,63,18,trackA2,2743,4480,2743,6,1,69.132535,MaxSatDddLadderScl,0.027195614,ok,0.068731496,25,77,35,63
0.023919066,3.7431693989071038,22.375,2061,33,23,FiniteSteps123,26,117,31,16,trackA3,1615,2740,1615,6,1,37.653093,MaxSatDddLadderScl,0.013572785,ok,0.037491278,16,60,49,31
0.017143385,2.6793478260869565,19.214284896850586,1175,33,15,FiniteSteps123,27,89,15,14,trackA4,759,1479,759,4,1,19.973335,MaxSatDddLadderScl,0.002762897,ok,0.019905627,14,29,54,15
0.011626123,1.0843881856540085,19.25,876,33,12,FiniteSteps123,28,2,12,3,trackA5,0,514,0,2,1,11.657727,MaxSatDddLadderScl,8.957e-06,ok,0.011634521,12,0,0,12
0.014822885000000001,2.196078431372549,18.625,307,33,9,FiniteSteps123,29,78,15,9,trackA6,287,672,287,4,1,15.548907,MaxSatDddLadderScl,0.00068733,ok,0.015509582,8,13,59,15
0.014226371,2.5714285714285716,12.625,126,33,8,FiniteSteps123,30,80,15,7,trackA7,265,540,265,4,1,15.344385,MaxSatDddLadderScl,0.001079268,ok,0.015305091,8,16,58,15
0.11929538500000003,15.748410535876475,19.88888931274414,4862,33,60,FiniteSteps123,31,295,63,112,trackA8,13365,17339,13365,6,13,395.886285,MaxSatDddLadderScl,0.275435648,ok,0.394730314,27,275,0,63
0.039285344,3.3929440389294405,20.049999237060547,2616,33,30,FiniteSteps123,32,130,31,15,trackA9,1450,2789,1450,5,1,51.689115,MaxSatDddLadderScl,0.012223315,ok,0.051507966,20,59,64,31
0.017065294,2.3291338582677166,18.176469802856445,1632,33,19,FiniteSteps123,33,65,31,10,trackA10,595,1479,595,5,1,19.123302,MaxSatDddLadderScl,0.001962928,ok,0.019027545,17,36,22,31
0.12478069200000003,16.121610517666394,20.482759475708008,6144,33,57,FiniteSteps123,34,270,63,205,trackA11,17906,19620,17906,9,1,533.030904,MaxSatDddLadderScl,0.406831239,ok,0.531611325,29,254,5,63
0.049790709,6.7491961414791,21.714284896850586,6393,33,63,FiniteSteps123,35,52,63,84,trackA12,5026,8396,5026,7,1,116.659086,MaxSatDddLadderScl,0.066408371,ok,0.116198567,28,43,0,63
0.018995451,2.6105919003115265,17.33333396911621,2022,25,15,FiniteSteps123,36,90,15,7,trackB1,816,1676,816,4,1,25.940128,MaxSatDddLadderScl,0.006813263,ok,0.025807971,18,39,45,15
0.012750906000000001,1.869281045751634,14.800000190734863,87,25,6,FiniteSteps123,37,42,7,5,trackB2,95,286,95,3,2,13.100299,MaxSatDddLadderScl,0.00031672,ok,0.013067086,5,3,33,7
0.014077556,3.1502890173410405,16.799999237060547,136,20,4,FiniteSteps123,38,76,7,12,trackB3,279,545,279,3,1,14.735689,MaxSatDddLadderScl,0.000628424,ok,0.014705453,5,23,48,7
0.023111552,4.138297872340425,15.949999809265137,2246,25,29,FiniteSteps123,39,109,31,32,trackB4,1501,2723,1501,5,1,31.504346,MaxSatDddLadderScl,0.008213047,ok,0.031324076,20,88,14,31
0.013477042000000002,3.092896174863388,17.799999237060547,136,25,7,FiniteSteps123,40,56,7,8,trackB5,306,566,306,4,1,14.278267,MaxSatDddLadderScl,0.00077594,ok,0.014252401,5,14,36,7
0.012842147,1.732484076433121,15.199999809265137,93,25,2,FiniteSteps123,41,40,3,4,trackB6,93,272,93,2,1,13.026525,MaxSatDddLadderScl,0.000118773,ok,0.012960295,5,2,34,3
0.021399229,3.2076719576719577,15.25,2865,25,30,FiniteSteps123,42,71,31,15,trackB7,1152,2425,1152,5,1,29.286297,MaxSatDddLadderScl,0.007526291,ok,0.02890991,24,45,19,31
0.013185121000000001,2.115107913669065,13.399999618530273,72,25,10,FiniteSteps123,43,49,15,5,trackB8,118,294,118,4,1,13.50886,MaxSatDddLadderScl,0.000301774,ok,0.013486143,5,6,37,15
0.014406710999999999,4.659898477157361,13.571428298950195,150,25,13,FiniteSteps123,44,59,15,17,trackB9,477,918,477,4,1,15.70454,MaxSatDddLadderScl,0.001251161,ok,0.015657302,7,43,10,15
0.012819873,1.6470588235294117,12.857142448425293,126,25,9,FiniteSteps123,45,42,15,5,trackB10,94,308,94,4,1,13.033949,MaxSatDddLadderScl,0.000184219,ok,0.013003596,7,5,31,15
0.021397331,3.140880503144654,15.399999618530273,3202,25,40,FiniteSteps123,46,87,63,13,trackB11,1224,2497,1224,6,1,31.207097,MaxSatDddLadderScl,0.009664319,ok,0.031060969,25,49,30,63
0.015799601,2.8034188034188032,16.214284896850586,970,25,18,FiniteSteps123,47,59,23,13,trackB12,616,1312,616,5,1,19.500751,MaxSatDddLadderScl,0.003614151,ok,0.019413277,14,31,21,23
0.05685620999999999,5.303298471440065,20.931034088134766,5915,33,44,FiniteSteps123,48,112,47,35,stationA1,3998,6592,3998,6,1,189.71897,MaxSatDddLadderScl,0.132503708,ok,0.189359366,29,87,17,47
0.038208328,4.801025641025641,19.0,3735,33,50,FiniteSteps123,49,102,63,27,stationA2,2778,4681,2778,6,1,59.389629,MaxSatDddLadderScl,0.020924095,ok,0.059131901,25,72,22,63
0.026449002,3.4959016393442623,22.375,2061,33,25,FiniteSteps123,50,114,31,11,stationA3,1476,2559,1476,6,2,43.555665,MaxSatDddLadderScl,0.016935383,ok,0.043383756,16,57,48,31
0.016916695,2.898550724637681,19.214284896850586,1175,33,18,FiniteSteps123,51,79,31,11,stationA4,856,1600,856,5,2,20.144356,MaxSatDddLadderScl,0.003121049,ok,0.020037001,14,29,42,31
0.017605353,3.5274261603375527,19.25,876,33,21,FiniteSteps123,52,82,31,19,stationA5,928,1672,928,5,1,21.705038,MaxSatDddLadderScl,0.003984252,ok,0.021589089,12,52,23,31
0.013647831000000001,1.8137254901960784,18.625,307,33,14,FiniteSteps123,53,60,15,6,stationA6,195,555,195,4,1,14.002416,MaxSatDddLadderScl,0.000328338,ok,0.013975651,8,8,46,15
0.01199146,1.0952380952380953,12.625,126,33,12,FiniteSteps123,54,2,12,2,stationA7,0,230,0,2,1,12.018738,MaxSatDddLadderScl,8.345e-06,ok,0.011999154,8,0,0,12
0.153372734,18.974568574023614,19.88888931274414,4862,33,63,FiniteSteps123,55,360,63,148,stationA8,14377,20891,14377,6,1,571.18881,MaxSatDddLadderScl,0.416424038,ok,0.569796003,27,352,0,63
0.033963456,3.683698296836983,20.049999237060547,2616,33,31,FiniteSteps123,56,109,31,17,stationA9,1682,3028,1682,5,1,43.667783,MaxSatDddLadderScl,0.009522804,ok,0.043485652,20,64,38,31
0.011991214,1.1385826771653544,18.176469802856445,1632,33,24,FiniteSteps123,57,2,24,3,stationA10,0,723,0,2,1,12.041032,MaxSatDddLadderScl,7.582e-06,ok,0.011998245,17,0,0,24
0.121704912,20.08216926869351,20.482759475708008,6144,33,63,FiniteSteps123,58,230,63,148,stationA11,18301,24440,18301,9,1,501.217795,MaxSatDddLadderScl,0.377815492,ok,0.499519855,29,219,0,63
0.065635707,11.534565916398714,21.714284896850586,6393,33,63,FiniteSteps123,59,102,63,112,stationA12,9768,14349,9768,6,1,141.198668,MaxSatDddLadderScl,0.074590363,ok,0.140225456,28,94,0,63
0.026030838999999997,3.4953271028037385,17.33333396911621,2022,25,29,FiniteSteps123,60,118,31,10,stationB1,1244,2244,1244,6,4,50.858587,MaxSatDddLadderScl,0.02466735,ok,0.050697391,18,54,53,31
0.013073294,2.0718954248366015,14.800000190734863,87,25,7,FiniteSteps123,61,39,7,5,stationB2,124,317,124,3,1,13.374624,MaxSatDddLadderScl,0.000276227,ok,0.013348799,5,5,29,7
0.012738128999999999,2.1734104046242773,16.799999237060547,136,20,5,FiniteSteps123,62,35,7,6,stationB3,145,376,145,3,1,13.002776,MaxSatDddLadderScl,0.000233215,ok,0.012970653,5,9,21,7
0.021400130999999996,5.167173252279635,15.949999809265137,2246,25,36,FiniteSteps123,63,87,63,34,stationB4,2060,3400,2060,6,1,43.70565,MaxSatDddLadderScl,0.022109467,ok,0.04350898,20,69,10,63
0.014339782000000002,3.9617486338797816,17.799999237060547,136,25,6,FiniteSteps123,64,64,7,13,stationB5,413,725,413,4,1,15.885524,MaxSatDddLadderScl,0.001501579,ok,0.015840763,5,21,37,7
0.013169519000000001,1.929936305732484,15.199999809265137,93,25,6,FiniteSteps123,65,43,7,4,stationB6,120,303,120,3,1,13.394683,MaxSatDddLadderScl,0.000194327,ok,0.013363259,5,4,34,7
0.023089498,4.205026455026455,15.25,2865,25,48,FiniteSteps123,66,84,63,32,stationB7,1801,3179,1801,6,1,34.7264,MaxSatDddLadderScl,0.011421209,ok,0.034510133,24,49,27,63
0.013781890000000002,1.8633093525179856,13.399999618530273,72,25,12,FiniteSteps123,67,44,15,4,stationB8,92,259,92,4,2,14.347207,MaxSatDddLadderScl,0.000540444,ok,0.014321802,5,4,33,15
0.012785681,2.1776649746192893,13.571428298950195,150,25,14,FiniteSteps123,68,42,15,6,stationB9,160,429,160,4,1,13.251826,MaxSatDddLadderScl,0.000415747,ok,0.013200164,7,9,27,15
0.013228832000000001,1.5401069518716577,12.857142448425293,126,25,11,FiniteSteps123,69,43,15,5,stationB10,71,288,71,4,1,13.4808,MaxSatDddLadderScl,0.00019847,ok,0.013426655,7,4,33,15
0.019922921000000003,3.831446540880503,15.399999618530273,3202,25,48,FiniteSteps123,70,61,63,18,stationB11,1696,3046,1696,6,1,29.773719,MaxSatDddLadderScl,0.009664304,ok,0.029586756,25,34,19,63
0.015096552000000001,2.732905982905983,16.214284896850586,970,25,23,FiniteSteps123,71,37,23,10,stationB12,507,1279,507,5,1,18.839362,MaxSatDddLadderScl,0.003697734,ok,0.01879373,14,24,6,23
