algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,exit_code,external_status,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
1.307564685,1.5502815768302494,20.931034088134766,5915,33,6771,Continuous,,,0,79,6771,9,origA1,51,1927,572,79,2,1906.955915,SatDddScl,0.514090054,ok,1.821654053,29,27,38,6771
0.364530475,2.0330708661417325,18.176469802856445,1632,33,4746,Continuous,,,1,49,4746,11,origA10,44,1291,548,49,1,616.855878,SatDddScl,0.202254633,ok,0.566784477,17,22,14,4746
0.503781034,1.8344262295081968,19.83333396911621,6162,33,5090,Continuous,,,2,65,5090,9,origA11,86,2238,811,65,1,970.315416,SatDddScl,0.40074123,ok,0.904521634,30,38,14,5090
0.35749249,1.7290996784565917,21.714284896850586,6393,33,4950,Continuous,,,3,45,4950,8,origA12,92,2151,690,45,1,516.773405,SatDddScl,0.113261899,ok,0.470753593,28,30,2,4950
0.9266997999999999,1.754871794871795,19.0,3735,33,5882,Continuous,,,4,51,5882,11,origA2,77,1711,571,51,1,1664.213127,SatDddScl,0.618853789,ok,1.5455528250000001,25,30,8,5882
0.03379719,1.3565573770491803,22.375,2061,33,1329,Continuous,,,5,40,1329,6,origA3,20,993,207,40,1,45.67055,SatDddScl,0.008940193,ok,0.042736869,16,8,21,1329
0.103884855,1.6467391304347827,19.214284896850586,1175,33,2706,Continuous,,,6,51,2706,5,origA4,20,909,303,51,1,170.549658,SatDddScl,0.053892133,ok,0.157776308,14,13,26,2706
0.118076091,1.7025316455696202,19.25,876,33,2634,Continuous,,,7,60,2634,6,origA5,17,807,289,60,1,227.315532,SatDddScl,0.094209931,ok,0.212285163,12,11,37,2634
0.07423558300000001,1.911764705882353,18.625,307,33,2068,Continuous,,,8,87,2068,5,origA6,14,585,241,87,1,160.818303,SatDddScl,0.07925053,ok,0.153485528,8,9,67,2068
0.08915983200000001,2.7142857142857144,12.625,126,33,1918,Continuous,,,9,85,1918,9,origA7,16,570,310,85,1,217.737697,SatDddScl,0.118834386,ok,0.207993397,8,10,64,1918
6.383963340999999,2.4528985507246377,19.214284896850586,4877,33,23648,Continuous,,,10,46,23648,14,origA8,232,2708,1104,46,1,10072.566322,SatDddScl,2.892559947,ok,9.276522155,28,31,0,23648
0.47858095300000003,1.8600973236009732,20.049999237060547,2616,33,6574,Continuous,,,11,53,6574,12,origA9,81,1529,538,53,1,1057.852927,SatDddScl,0.512133259,ok,0.990713535,20,30,10,6574
0.293931646,1.7385826771653543,18.176469802856445,1632,33,4746,Continuous,,,12,42,4746,9,origA10,39,1104,377,42,1,466.196648,SatDddScl,0.133398477,ok,0.427327634,17,18,11,4746
0.281211234,1.8868852459016394,19.83333396911621,6162,33,5090,Continuous,,,13,53,5090,11,origA11,113,2302,819,53,1,425.237643,SatDddScl,0.107325822,ok,0.388535932,30,34,6,5090
0.659493528,1.9581993569131833,21.714284896850586,6393,33,4950,Continuous,,,14,56,4950,11,origA12,103,2436,945,56,1,1042.817936,SatDddScl,0.304967669,ok,0.964460621,28,36,7,4950
,,,,,,cont,134,aborted,15,,,,origB1,,,,,,130421,sat_ddd_scl,,aborted,130.421,,,,
0.014475355,1.4183006535947713,14.800000190734863,87,25,347,Continuous,,,16,55,347,3,origB2,2,217,58,55,1,20.232603,SatDddScl,0.005276325,ok,0.019751059,5,1,45,347
0.020697734,1.739884393063584,16.799999237060547,136,20,629,Continuous,,,17,46,629,5,origB3,6,301,110,46,1,27.513142,SatDddScl,0.005685631,ok,0.02638274,5,3,33,629
11.298822784,2.045592705167173,15.949999809265137,2246,25,53651,Continuous,,,18,50,53651,18,origB4,178,1346,362,50,1,24209.744282,SatDddScl,11.305208198,ok,22.604030094,20,32,2,53651
0.014390617000000001,1.284153005464481,17.799999237060547,136,25,288,Continuous,,,19,46,288,3,origB5,2,235,46,46,1,17.991344,SatDddScl,0.003069439,ok,0.017459413,5,1,36,288
0.013316640000000001,1.3184713375796178,15.199999809265137,93,25,176,Continuous,,,20,44,176,3,origB6,2,207,44,44,1,16.367709,SatDddScl,0.002645305,ok,0.015961375,5,1,35,176
,,15.25,2865,25,,Continuous,,,21,,,,origB7,,,,,,,SatDddScl,,oom,,24,,,
0.01840775,1.2877697841726619,13.399999618530273,72,25,676,Continuous,,,22,46,676,2,origB8,1,179,36,46,1,27.261092,SatDddScl,0.007742981,ok,0.026150094,5,0,36,676
0.309917438,3.0710659898477157,13.571428298950195,150,25,5969,Continuous,,,23,46,5969,12,origB9,33,605,330,46,1,435.263786,SatDddScl,0.087330022,ok,0.397246928,7,19,14,5969
