algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.724809118,1.6339501206757845,20.931034088134766,5915,33,6771,Continuous,0,87,6771,11,origA1,60,2031,660,87,1,778.189849,SatDddSclTotalizer,0.049510356,ok,0.774318829,29,33,41,6771
0.05375301500000001,1.6276923076923078,19.0,3735,33,5882,Continuous,1,47,5882,11,origA2,59,1587,469,47,1,109.167937,SatDddSclTotalizer,0.051662704,ok,0.105414876,25,23,11,5882
0.018352854000000002,1.721311475409836,22.375,2061,33,1329,Continuous,2,62,1329,7,origA3,35,1260,438,62,1,25.170249,SatDddSclTotalizer,0.006395955,ok,0.024748261,16,21,30,1329
0.022568743999999995,2.0199275362318843,19.214284896850586,1175,33,2706,Continuous,3,59,2706,7,origA4,37,1115,475,59,1,34.884963,SatDddSclTotalizer,0.010779373,ok,0.033347561,14,18,29,2706
0.021249670000000002,1.8565400843881856,19.25,876,33,2634,Continuous,4,60,2634,8,origA5,26,880,340,60,1,33.606043,SatDddSclTotalizer,0.011472897,ok,0.032722009,12,15,33,2634
0.014906776,1.869281045751634,18.625,307,33,2154,Continuous,5,76,2154,5,origA6,12,572,236,76,1,22.151345,SatDddSclTotalizer,0.007018713,ok,0.021924788,8,8,56,2154
0.015415611000000003,2.7666666666666666,12.625,126,33,1918,Continuous,6,57,1918,9,origA7,30,581,293,57,1,22.1359,SatDddSclTotalizer,0.006416335,ok,0.021831277,8,18,28,1918
0.338938652,2.5135869565217392,19.214284896850586,4877,33,23648,Continuous,7,43,23648,18,origA8,243,2775,1099,43,1,564.019962,SatDddSclTotalizer,0.204686686,ok,0.543624656,28,28,0,23648
0.04926504899999999,1.8175182481751824,20.049999237060547,2616,33,6574,Continuous,8,52,6574,14,origA9,73,1494,495,52,1,67.657431,SatDddSclTotalizer,0.016052855,ok,0.065317142,20,28,11,6574
0.032181544,2.02992125984252,18.176469802856445,1632,33,4746,Continuous,9,45,4746,8,origA10,58,1289,516,45,1,51.224939,SatDddSclTotalizer,0.017025445,ok,0.04920638,17,26,6,4746
0.062363808,1.9836065573770492,19.83333396911621,6162,33,5090,Continuous,10,64,5090,17,origA11,130,2420,913,64,1,122.282134,SatDddSclTotalizer,0.055532775,ok,0.117895967,30,41,10,5090
0.06116670500000001,1.912379421221865,21.714284896850586,6393,33,4950,Continuous,11,53,4950,9,origA12,109,2379,900,53,1,102.724974,SatDddSclTotalizer,0.038365803,ok,0.099531991,28,35,5,4950
0.012610253,1.1775700934579438,17.33333396911621,2022,25,969,Continuous,12,41,969,4,origB1,8,756,94,41,1,15.387872,SatDddSclTotalizer,0.002701917,ok,0.015311613,18,6,25,969
0.012203006999999998,1.4183006535947713,14.800000190734863,87,25,347,Continuous,13,55,347,3,origB2,2,217,58,55,1,16.035833,SatDddSclTotalizer,0.003781308,ok,0.015983688,5,1,45,347
0.012157732000000001,1.716763005780347,16.799999237060547,136,20,629,Continuous,14,38,629,5,origB3,9,297,96,38,1,14.864102,SatDddSclTotalizer,0.002649434,ok,0.0148066,5,5,23,629
0.180144321,2.129179331306991,15.949999809265137,2246,25,53651,Continuous,15,46,53651,18,origB4,171,1401,413,46,1,375.181953,SatDddSclTotalizer,0.177902191,ok,0.358045854,20,30,0,53651
0.012145351,1.284153005464481,17.799999237060547,136,25,288,Continuous,16,46,288,3,origB5,2,235,46,46,1,15.396277,SatDddSclTotalizer,0.003197354,ok,0.015341844,5,1,36,288
0.012176518,1.3184713375796178,15.199999809265137,93,25,176,Continuous,17,44,176,3,origB6,2,207,44,44,1,15.609899,SatDddSclTotalizer,0.003386743,ok,0.01556267,5,1,35,176
2.3091041,2.7605820105820107,15.25,2865,25,66037,Continuous,18,39,66037,29,origB7,330,2087,594,39,1,2976.555703,SatDddSclTotalizer,0.593088608,ok,2.902192108,24,22,0,66037
0.012226843000000001,1.2877697841726619,13.399999618530273,72,25,676,Continuous,19,46,676,2,origB8,1,179,36,46,1,15.801382,SatDddSclTotalizer,0.003518391,ok,0.015744651,5,0,36,676
0.026446663999999995,3.532994923857868,13.571428298950195,150,25,5967,Continuous,20,87,5967,12,origB9,33,696,419,86,1,59.945844,SatDddSclTotalizer,0.031774265,ok,0.05822041,7,20,54,5967
0.018239897999999997,3.2578947368421054,11.375,130,25,5747,Continuous,21,48,5747,12,origB10,34,619,341,48,1,25.470304,SatDddSclTotalizer,0.0065107,ok,0.024749835,8,18,17,5747
5.027801672000001,2.4213836477987423,15.399999618530273,3202,25,75744,Continuous,22,37,75744,26,origB11,301,1925,460,37,1,7131.509715,SatDddSclTotalizer,1.97668564,ok,7.004486703,25,20,0,75744
0.012997628999999998,1.232905982905983,16.214284896850586,970,25,918,Continuous,23,34,918,5,origB12,9,577,85,34,1,16.14419,SatDddSclTotalizer,0.003057367,ok,0.016054211,14,5,19,918
0.20605264,3.0410297666934833,20.931034088134766,5915,33,10105,Continuous,24,44,10105,14,trackA1,250,3780,1858,44,1,711.08047,SatDddSclTotalizer,0.488666728,ok,0.694718576,29,30,0,10105
0.5209501420000002,5.173333333333333,19.0,3735,33,7912,Continuous,25,66,7912,30,trackA2,611,5044,2825,66,1,7747.348996,SatDddSclTotalizer,7.183116946,ok,7.704066376,25,53,0,7912
0.03500306,3.0423497267759565,22.375,2061,33,2148,Continuous,26,50,2148,10,trackA3,128,2227,1149,50,1,84.787062,SatDddSclTotalizer,0.047369854,ok,0.082372214,16,33,5,2148
0.024203779999999998,2.3568840579710146,19.214284896850586,1175,33,2103,Continuous,27,47,2103,9,trackA4,64,1301,586,47,1,38.165687,SatDddSclTotalizer,0.01278673,ok,0.036989903,14,22,13,2103
0.034512246999999996,2.542194092827004,19.25,876,33,2773,Continuous,28,67,2773,13,trackA5,69,1205,572,67,1,119.009863,SatDddSclTotalizer,0.081563231,ok,0.116074777,12,31,24,2773
0.015389108999999998,2.183006535947712,18.625,307,33,1760,Continuous,29,61,1760,6,trackA6,28,668,298,61,1,22.542915,SatDddSclTotalizer,0.006849507,ok,0.022237998,8,17,33,1760
0.015224069,3.238095238095238,12.625,126,33,1393,Continuous,30,70,1393,13,trackA7,38,680,375,70,1,23.406806,SatDddSclTotalizer,0.007970226,ok,0.023193538,8,22,37,1393
30.088251649,10.700272479564033,19.88888931274414,4862,33,,Continuous,31,67,26022,65,trackA8,2058,11781,6436,67,1,121305.888654,SatDddSclTotalizer,91.217637986,timeout,121.305888654,27,64,0,34696
0.3083258999999998,3.883211678832117,20.049999237060547,2616,33,6955,Continuous,32,57,6955,15,trackA9,265,3192,1742,57,1,3680.854722,SatDddSclTotalizer,3.350862279,ok,3.659186925,20,44,0,6955
0.026657526,2.04251968503937,18.176469802856445,1632,33,4812,Continuous,33,35,4812,8,trackA10,84,1297,437,35,1,36.70883,SatDddSclTotalizer,0.00875566,ok,0.035412555,17,20,2,4812
13.469383175000004,8.456861133935908,20.482759475708008,6144,33,,Continuous,34,58,16965,93,trackA11,1772,10292,5309,58,1,120320.318265,SatDddSclTotalizer,106.850936046,timeout,120.320318265,29,55,0,22619
26.996913188000008,13.27733118971061,21.714284896850586,6393,33,,Continuous,35,76,14752,119,trackA12,3165,16517,8772,76,1,121430.532327,SatDddSclTotalizer,94.433619982,timeout,121.430532327,28,74,0,29503
0.016882536000000004,1.8582554517133956,17.33333396911621,2022,25,1507,Continuous,36,36,1507,6,trackB1,51,1193,389,36,1,21.187937,SatDddSclTotalizer,0.004082733,ok,0.020964649,18,12,13,1507
0.013898240000000003,2.2483660130718954,14.800000190734863,87,25,5004,Continuous,37,44,5004,7,trackB2,25,344,135,44,1,18.671209,SatDddSclTotalizer,0.004539947,ok,0.018437552,5,16,15,5004
