algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.010141245,1.7932421560740144,20.931034088134766,5915,33,11,FiniteSteps123,0,122,11,9,origA1,738,2229,738,11,1,12.370613,MaxSatDddLadderScl,0.001737778,ok,0.011878243,29,31,78,11
0.0051381610000000005,1.7384615384615385,19.0,3735,33,25,FiniteSteps123,1,102,25,13,origA2,454,1695,454,25,4,6.281046,MaxSatDddLadderScl,0.001059978,ok,0.006197596,25,28,44,25
0.005892929,1.9849726775956285,22.375,2061,33,10,FiniteSteps123,2,118,10,11,origA3,570,1453,570,10,1,7.17385,MaxSatDddLadderScl,0.001188372,ok,0.007080787,16,20,86,10
0.005712655,2.1159420289855073,19.214284896850586,1175,33,17,FiniteSteps123,3,142,17,7,origA4,494,1168,494,17,1,7.195819,MaxSatDddLadderScl,0.001415225,ok,0.007127313,14,18,105,17
0.0028886940000000002,1.6687763713080168,19.25,876,33,15,FiniteSteps123,4,85,15,5,origA5,249,791,249,15,1,3.3505990000000003,MaxSatDddLadderScl,0.000394757,ok,0.003282665,12,6,62,15
0.002220963,1.7124183006535947,18.625,307,33,10,FiniteSteps123,5,89,10,7,origA6,183,524,183,10,1,2.590944,MaxSatDddLadderScl,0.00033074,ok,0.002551047,8,2,75,10
0.001512895,1.7190476190476192,12.625,126,33,10,FiniteSteps123,6,52,10,4,origA7,109,361,109,10,1,1.68387,MaxSatDddLadderScl,0.000126033,ok,0.001638445,8,2,38,10
0.028243962,4.327898550724638,19.214284896850586,4877,33,31,FiniteSteps123,7,257,31,20,origA8,2631,4778,2631,31,1,52.833995,MaxSatDddLadderScl,0.02435,ok,0.052593358,28,87,137,31
0.006052335000000001,2.312652068126521,20.049999237060547,2616,33,18,FiniteSteps123,8,112,18,14,origA9,803,1901,803,18,1,7.888136,MaxSatDddLadderScl,0.001710742,ok,0.007762521,20,41,51,18
0.0059796300000000005,2.541732283464567,18.176469802856445,1632,33,17,FiniteSteps123,9,126,17,15,origA10,737,1614,737,17,2,8.204029,MaxSatDddLadderScl,0.002148062,ok,0.00812699,17,31,75,17
0.010021546000000001,2.4975409836065574,19.83333396911621,6162,33,23,FiniteSteps123,10,106,23,10,origA11,1340,3047,1340,23,1,12.768372,MaxSatDddLadderScl,0.002573717,ok,0.012594701,30,53,28,23
0.028647781,3.022508038585209,21.714284896850586,6393,33,24,FiniteSteps123,11,227,24,10,origA12,1893,3760,1893,24,1,40.554404000000005,MaxSatDddLadderScl,0.011675215,ok,0.040322492,28,78,123,24
0.001272456,1.1510903426791277,17.33333396911621,2022,25,4,FiniteSteps123,12,31,4,4,origB1,39,739,39,4,1,1.4439629999999999,MaxSatDddLadderScl,9.0096e-05,ok,0.001361867,18,0,25,4
0.00108572,1.6274509803921569,14.800000190734863,87,25,5,FiniteSteps123,13,54,5,5,origB2,69,249,69,5,1,1.236534,MaxSatDddLadderScl,0.000128788,ok,0.00121402,5,3,44,5
0.002119018,2.132947976878613,16.799999237060547,136,20,5,FiniteSteps123,14,52,5,6,origB3,157,369,157,5,1,2.527384,MaxSatDddLadderScl,0.0003751,ok,0.002493536,5,4,41,5
0.004823531,2.047112462006079,15.949999809265137,2246,25,16,FiniteSteps123,15,102,16,17,origB4,378,1347,378,16,1,6.45487,MaxSatDddLadderScl,0.001552142,ok,0.006375173,20,34,50,16
0.001335159,1.715846994535519,17.799999237060547,136,25,2,FiniteSteps123,16,69,2,5,origB5,101,314,101,2,1,1.5424550000000001,MaxSatDddLadderScl,0.000162827,ok,0.00149745,5,3,62,2
0.000453089,1.1847133757961783,15.199999809265137,93,25,2,FiniteSteps123,17,16,2,4,origB6,12,186,12,2,1,0.498609,MaxSatDddLadderScl,2.1409e-05,ok,0.000473938,5,0,12,2
0.0077617910000000005,3.578042328042328,15.25,2865,25,25,FiniteSteps123,18,120,25,31,origB7,1056,2705,1056,25,1,14.408736,MaxSatDddLadderScl,0.006480579,ok,0.014241792,24,73,20,25
0.000834909,1.3597122302158273,13.399999618530273,72,25,6,FiniteSteps123,19,45,6,4,origB8,37,189,37,6,1,0.937353,MaxSatDddLadderScl,6.4001e-05,ok,0.000898442,5,0,37,6
0.00310268,3.0406091370558377,13.571428298950195,150,25,7,FiniteSteps123,20,99,7,10,origB9,325,599,325,7,1,3.8380609999999997,MaxSatDddLadderScl,0.000687654,ok,0.003789829,7,11,79,7
0.001940195,3.0210526315789474,11.375,130,25,10,FiniteSteps123,21,61,10,9,origB10,292,574,292,10,1,2.307847,MaxSatDddLadderScl,0.000334407,ok,0.002273886,8,12,37,10
0.008139839,3.050314465408805,15.399999618530273,3202,25,23,FiniteSteps123,22,110,23,24,origB11,746,2425,746,23,1,14.353928,MaxSatDddLadderScl,0.006056614,ok,0.014195889,25,32,53,23
0.002482419,1.8803418803418803,16.214284896850586,970,25,6,FiniteSteps123,23,55,6,10,origB12,274,880,274,6,1,2.917484,MaxSatDddLadderScl,0.000318417,ok,0.002800222,14,18,29,6
0.037867139999999994,4.907481898632341,20.931034088134766,5915,33,23,FiniteSteps123,24,215,23,37,trackA1,3644,6100,3644,23,2,70.172636,MaxSatDddLadderScl,0.031924985,ok,0.069791526,29,110,79,23
0.016438005999999998,4.077948717948718,19.0,3735,33,33,FiniteSteps123,25,158,33,24,trackA2,2256,3976,2256,33,1,27.778996,MaxSatDddLadderScl,0.011076543,ok,0.027514056,25,63,60,33
0.016643568,4.348360655737705,22.375,2061,33,15,FiniteSteps123,26,209,15,17,trackA3,1969,3183,1969,15,1,29.361068,MaxSatDddLadderScl,0.012515393,ok,0.029158512,16,60,132,15
0.00639284,3.0996376811594204,19.214284896850586,1175,33,15,FiniteSteps123,27,98,15,16,trackA4,902,1711,902,15,1,8.722336,MaxSatDddLadderScl,0.002195473,ok,0.008587758,14,35,46,15
0.006425231,2.5843881856540083,19.25,876,33,12,FiniteSteps123,28,141,12,11,trackA5,590,1225,590,12,1,8.582951999999999,MaxSatDddLadderScl,0.002061835,ok,0.008486541,12,22,105,12
0.00320156,2.196078431372549,18.625,307,33,8,FiniteSteps123,29,77,8,8,trackA6,291,672,291,8,1,3.862692,MaxSatDddLadderScl,0.000607896,ok,0.003808904,8,10,57,8
0.001481118,2.0714285714285716,12.625,126,33,8,FiniteSteps123,30,45,8,6,trackA7,171,435,171,8,1,1.690952,MaxSatDddLadderScl,0.000176888,ok,0.001657602,8,3,32,8
0.035154013,11.168937329700272,19.88888931274414,4862,33,34,FiniteSteps123,31,155,34,66,trackA8,7024,12297,7024,34,1,113.802607,MaxSatDddLadderScl,0.077865753,ok,0.113019056,27,112,7,34
0.013992154,3.568126520681265,20.049999237060547,2616,33,25,FiniteSteps123,32,159,25,17,trackA9,1540,2933,1540,25,2,23.205515,MaxSatDddLadderScl,0.00895653,ok,0.022948013,20,58,73,25
0.005491097,2.6677165354330707,18.176469802856445,1632,33,17,FiniteSteps123,33,89,17,16,trackA10,755,1694,755,17,1,7.2621459999999995,MaxSatDddLadderScl,0.001665346,ok,0.007155835,17,37,33,17
0.061108021999999984,14.34593262119967,20.482759475708008,6144,33,33,FiniteSteps123,34,210,33,106,trackA11,10146,17459,10146,33,1,336.95519,MaxSatDddLadderScl,0.27459864,ok,0.335705895,29,158,17,33
0.045324692,13.365755627009646,21.714284896850586,6393,33,36,FiniteSteps123,35,169,36,135,trackA12,9163,16627,9163,36,1,188.912194,MaxSatDddLadderScl,0.142648545,ok,0.187972625,28,110,21,36
0.005997159,2.445482866043614,17.33333396911621,2022,25,13,FiniteSteps123,36,100,13,8,trackB1,719,1570,719,13,1,7.497462,MaxSatDddLadderScl,0.001418827,ok,0.007415423,18,19,66,13
0.001180373,1.8300653594771241,14.800000190734863,87,25,5,FiniteSteps123,37,41,5,6,trackB2,82,280,82,5,1,1.36359,MaxSatDddLadderScl,0.00015219,ok,0.001332044,5,3,33,5
0.00204217,3.138728323699422,16.799999237060547,136,20,4,FiniteSteps123,38,68,4,12,trackB3,247,543,247,4,1,2.491288,MaxSatDddLadderScl,0.00042727,ok,0.002468989,5,20,44,4
0.007053374999999999,3.9376899696048633,15.949999809265137,2246,25,19,FiniteSteps123,39,96,19,17,trackB4,1383,2591,1383,19,1,10.638765999999999,MaxSatDddLadderScl,0.003462849,ok,0.010515575,20,47,28,19
0.00317998,4.306010928961749,17.799999237060547,136,25,7,FiniteSteps123,40,81,7,14,trackB5,468,788,468,7,1,3.9442920000000004,MaxSatDddLadderScl,0.000719621,ok,0.003899054,5,18,54,7
0.001002932,1.7452229299363058,15.199999809265137,93,25,2,FiniteSteps123,41,41,2,5,trackB6,87,274,87,2,1,1.123036,MaxSatDddLadderScl,9.5829e-05,ok,0.00109828,5,1,36,2
0.007967535999999999,3.621693121693122,15.25,2865,25,27,FiniteSteps123,42,97,27,19,trackB7,1391,2738,1391,27,1,11.389845,MaxSatDddLadderScl,0.003259052,ok,0.011226062,24,49,19,27
0.0013906419999999999,2.9136690647482015,13.399999618530273,72,25,8,FiniteSteps123,43,74,8,11,trackB8,204,405,204,8,1,1.667972,MaxSatDddLadderScl,0.000256181,ok,0.001646122,5,9,55,8
0.002314035,4.289340101522843,13.571428298950195,150,25,9,FiniteSteps123,44,70,9,14,trackB9,442,845,442,9,1,3.197967,MaxSatDddLadderScl,0.000845437,ok,0.00315886,7,39,20,9
0.001164469,1.6684491978609626,12.857142448425293,126,25,8,FiniteSteps123,45,47,8,5,trackB10,91,312,91,8,1,1.321448,MaxSatDddLadderScl,0.000124429,ok,0.001288373,7,2,35,8
0.010722753,3.5345911949685536,15.399999618530273,3202,25,31,FiniteSteps123,46,140,31,16,trackB11,1431,2810,1431,31,1,15.269728,MaxSatDddLadderScl,0.004397388,ok,0.015119694,25,64,43,31
0.004974317000000001,3.341880341880342,16.214284896850586,970,25,16,FiniteSteps123,47,104,16,20,trackB12,744,1564,744,16,3,7.230364000000001,MaxSatDddLadderScl,0.002198784,ok,0.007172622,14,38,46,16
0.039263345000000005,6.557522123893805,20.931034088134766,5915,33,37,FiniteSteps123,48,259,37,26,stationA1,5115,8151,5115,37,1,114.154714,MaxSatDddLadderScl,0.074480112,ok,0.113742659,29,135,85,37
0.023881198,6.459487179487179,19.0,3735,33,40,FiniteSteps123,49,196,40,24,stationA2,3927,6298,3927,40,1,56.517395,MaxSatDddLadderScl,0.032342445,ok,0.056223016,25,109,45,40
0.012153498,3.871584699453552,22.375,2061,33,19,FiniteSteps123,50,139,19,17,stationA3,1686,2834,1686,19,1,21.059577,MaxSatDddLadderScl,0.008610603,ok,0.020763334,16,45,73,19
0.006278686,2.7282608695652173,19.214284896850586,1175,33,17,FiniteSteps123,51,84,17,14,stationA4,741,1506,741,17,2,8.143222,MaxSatDddLadderScl,0.001799841,ok,0.008078066,14,27,37,17
0.00318022,2.8607594936708862,19.25,876,33,16,FiniteSteps123,52,64,16,14,stationA5,635,1356,635,16,1,4.1942699999999995,MaxSatDddLadderScl,0.000974704,ok,0.004154301,12,29,19,16
0.00173744,1.8986928104575163,18.625,307,33,10,FiniteSteps123,53,49,10,10,stationA6,185,581,185,10,1,2.0429649999999997,MaxSatDddLadderScl,0.000207975,ok,0.001944825,8,12,25,10
0.003148148,3.085714285714286,12.625,126,33,12,FiniteSteps123,54,107,12,7,stationA7,369,648,369,12,1,3.787722,MaxSatDddLadderScl,0.000606997,ok,0.003754615,8,11,82,12
