algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.009567161,1.7248592115848753,20.931034088134766,5915,33,11,FiniteSteps123,0,122,11,9,origA1,683,2144,683,11,1,12.007666,MaxSatDddLadderScl,0.001577739,ok,0.011143816,29,27,82,11
0.005329737,1.8523076923076922,19.0,3735,33,25,FiniteSteps123,1,98,25,14,origA2,527,1806,527,25,1,6.601700999999999,MaxSatDddLadderScl,0.001178297,ok,0.006507505,25,34,37,25
0.004219864,1.7459016393442623,22.375,2061,33,10,FiniteSteps123,2,95,10,8,origA3,426,1278,426,10,1,5.020063,MaxSatDddLadderScl,0.000732836,ok,0.004952155,16,13,70,10
0.005165162,2.0706521739130435,19.214284896850586,1175,33,17,FiniteSteps123,3,133,17,7,origA4,475,1143,475,17,1,6.261691,MaxSatDddLadderScl,0.001036131,ok,0.006200772,14,16,98,17
0.002681236,1.6687763713080168,19.25,876,33,15,FiniteSteps123,4,85,15,5,origA5,249,791,249,15,1,3.182641,MaxSatDddLadderScl,0.000359328,ok,0.003040067,12,6,62,15
0.002172479,1.7124183006535947,18.625,307,33,10,FiniteSteps123,5,89,10,7,origA6,183,524,183,10,1,2.500366,MaxSatDddLadderScl,0.000305616,ok,0.002477491,8,2,75,10
0.00146209,1.7190476190476192,12.625,126,33,10,FiniteSteps123,6,52,10,4,origA7,109,361,109,10,1,1.618703,MaxSatDddLadderScl,0.000134953,ok,0.00159648,8,2,38,10
0.022531158,3.786231884057971,19.214284896850586,4877,33,31,FiniteSteps123,7,219,31,19,origA8,2138,4180,2138,31,1,38.767767,MaxSatDddLadderScl,0.016053083,ok,0.038583783,28,71,115,31
0.00601564,2.3795620437956204,20.049999237060547,2616,33,18,FiniteSteps123,8,112,18,14,origA9,845,1956,845,18,1,7.626386,MaxSatDddLadderScl,0.001545928,ok,0.007561059,20,42,50,18
0.004395255,2.41259842519685,18.176469802856445,1632,33,17,FiniteSteps123,9,84,17,15,origA10,649,1532,649,17,1,5.4655249999999995,MaxSatDddLadderScl,0.001011433,ok,0.005406228,17,32,33,17
0.009800047,2.654918032786885,19.83333396911621,6162,33,23,FiniteSteps123,10,112,23,11,origA11,1438,3239,1438,23,1,13.079028,MaxSatDddLadderScl,0.003125957,ok,0.012925265,30,61,26,23
0.021031883,3.1961414790996785,21.714284896850586,6393,33,24,FiniteSteps123,11,191,24,16,origA12,2061,3976,2061,24,1,30.754963999999998,MaxSatDddLadderScl,0.009532871,ok,0.030564152,28,86,79,24
0.001253677,1.1510903426791277,17.33333396911621,2022,25,4,FiniteSteps123,12,31,4,4,origB1,39,739,39,4,1,1.412048,MaxSatDddLadderScl,0.000102876,ok,0.001355962,18,0,25,4
0.001203726,1.6274509803921569,14.800000190734863,87,25,5,FiniteSteps123,13,54,5,5,origB2,69,249,69,5,1,1.4193689999999999,MaxSatDddLadderScl,0.000181319,ok,0.00138451,5,3,44,5
0.001120783,2.132947976878613,16.799999237060547,136,20,5,FiniteSteps123,14,52,5,6,origB3,157,369,157,5,1,1.299222,MaxSatDddLadderScl,0.000156071,ok,0.001276301,5,4,41,5
0.004220578,2.1185410334346506,15.949999809265137,2246,25,16,FiniteSteps123,15,103,16,15,origB4,453,1394,453,16,1,5.530155,MaxSatDddLadderScl,0.001252957,ok,0.005473064,20,34,51,16
0.001638478,1.715846994535519,17.799999237060547,136,25,2,FiniteSteps123,16,69,2,5,origB5,101,314,101,2,1,1.966176,MaxSatDddLadderScl,0.000289906,ok,0.001927774,5,3,62,2
0.00039054599999999997,1.1847133757961783,15.199999809265137,93,25,2,FiniteSteps123,17,16,2,4,origB6,12,186,12,2,1,0.445983,MaxSatDddLadderScl,2.0958e-05,ok,0.00041102,5,0,12,2
0.006355247,2.619047619047619,15.25,2865,25,25,FiniteSteps123,18,108,25,16,origB7,669,1980,669,25,1,9.73193,MaxSatDddLadderScl,0.003265898,ok,0.009620641,24,38,43,25
0.000975202,1.3597122302158273,13.399999618530273,72,25,6,FiniteSteps123,19,45,6,4,origB8,37,189,37,6,1,1.073629,MaxSatDddLadderScl,6.7579e-05,ok,0.001042217,5,0,37,6
0.002311281,2.9441624365482233,13.571428298950195,150,25,7,FiniteSteps123,20,89,7,10,origB9,306,580,306,7,1,2.877477,MaxSatDddLadderScl,0.000544025,ok,0.002854762,7,11,69,7
0.0015917650000000002,2.9947368421052634,11.375,130,25,10,FiniteSteps123,21,56,10,9,origB10,287,569,287,10,1,1.918624,MaxSatDddLadderScl,0.000262676,ok,0.00185389,8,12,32,10
