algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.007471015000000001,1.4690265486725664,20.931034088134766,5915,33,11,FiniteSteps123,0,69,11,10,origA1,497,1826,497,11,1,8.900501,MaxSatDddLadderScl,0.001109625,0.008579677,29,22,34,11
0.007184320999999999,1.754871794871795,19.0,3735,33,25,FiniteSteps123,1,105,25,16,origA2,525,1711,525,25,1,8.7466,MaxSatDddLadderScl,0.001471187,0.00865497,25,40,38,25
0.004862399999999999,1.6967213114754098,22.375,2061,33,10,FiniteSteps123,2,86,10,6,origA3,426,1242,426,10,1,5.714742,MaxSatDddLadderScl,0.000778273,0.005640111,16,17,57,10
0.0037144649999999997,1.693840579710145,19.214284896850586,1175,33,17,FiniteSteps123,3,82,17,7,origA4,316,935,316,17,1,4.37321,MaxSatDddLadderScl,0.000584799,0.004298534,14,13,50,17
0.003220196,1.6244725738396624,19.25,876,33,15,FiniteSteps123,4,74,15,5,origA5,249,770,249,15,1,3.714197,MaxSatDddLadderScl,0.000442425,0.003661911,12,7,50,15
0.002097917,1.591503267973856,18.625,307,33,10,FiniteSteps123,5,86,10,4,origA6,149,487,149,10,1,2.426889,MaxSatDddLadderScl,0.000293243,0.002390452,8,5,69,10
0.00152899,1.8952380952380952,12.625,126,33,10,FiniteSteps123,6,51,10,5,origA7,126,398,126,10,1,1.747243,MaxSatDddLadderScl,0.000185639,0.001714083,8,7,32,10
0.010509550999999999,3.074275362318841,19.214284896850586,4877,33,33,FiniteSteps123,7,107,33,22,origA8,1659,3394,1659,33,1,16.131779,MaxSatDddLadderScl,0.005410221,0.015919055,28,58,14,33
0.0051364620000000005,2.1265206812652067,20.049999237060547,2616,33,21,FiniteSteps123,8,110,21,13,origA9,759,1748,759,21,1,6.744489,MaxSatDddLadderScl,0.001509727,0.006645494,20,42,45,21
0.003529505,2.1102362204724407,18.176469802856445,1632,33,17,FiniteSteps123,9,79,17,12,origA10,575,1340,575,17,2,4.386158,MaxSatDddLadderScl,0.000796485,0.004325256,17,27,32,17
0.007879807,1.9852459016393442,19.83333396911621,6162,33,25,FiniteSteps123,10,105,25,10,origA11,978,2422,978,25,1,10.980282,MaxSatDddLadderScl,0.002939256,0.010818337,30,47,31,25
0.009310164000000001,2.1181672025723475,21.714284896850586,6393,33,24,FiniteSteps123,11,111,24,10,origA12,1124,2635,1124,24,1,13.898106,MaxSatDddLadderScl,0.004409979,0.013719331,28,43,42,24
0.000985054,1.0654205607476634,17.33333396911621,2022,25,4,FiniteSteps123,12,23,4,3,origB1,30,684,30,4,1,1.100861,MaxSatDddLadderScl,4.0423e-05,0.00102502,18,1,16,4
0.0007538,1.4379084967320261,14.800000190734863,87,25,5,FiniteSteps123,13,55,5,3,origB2,61,220,61,5,1,0.836987,MaxSatDddLadderScl,5.8173e-05,0.000811482,5,1,47,5
0.001284141,2.161849710982659,16.799999237060547,136,20,5,FiniteSteps123,14,47,5,7,origB3,164,374,164,5,1,1.497484,MaxSatDddLadderScl,0.000184085,0.001467616,5,9,31,5
0.005500178,2.4012158054711246,15.949999809265137,2246,25,16,FiniteSteps123,15,89,16,22,origB4,615,1580,615,16,1,7.543958,MaxSatDddLadderScl,0.001933571,0.00743305,20,60,11,16
0.000869394,1.289617486338798,17.799999237060547,136,25,2,FiniteSteps123,16,42,2,3,origB5,47,236,47,2,1,0.946472,MaxSatDddLadderScl,4.9555e-05,0.000918319,5,1,37,2
